         k,      dist, cost_edbt,  gen_edbt,  cost_ki0,   gen_ki0,   cost_ki,    gen_ki, cost_poly,  gen_poly,  cost_ffp,   gen_ffp,   cost_hi,    gen_hi,     hcost,     hcall,reevaluate,   cost_fi,    gen_fi,  cost_pre,   gen_pre,   edgecnt,  fencecnt,       pts,     polys
         1,   18260.8,         0,         0,   2675.09,      2412,   782.089,       806,    43.845,        55,    30.292,        55,   435.626,        57,       359,        42,         0,     9.973,        35,   32412.9,     14081,      6608,     24799,         3,       287
         1,   12214.8,         0,         0,   1071.63,      1091,   358.697,       337,    20.235,        30,    16.454,        30,   232.915,        31,       197,        20,         0,     3.353,        15,   32412.9,     14081,      6608,     24799,         3,       287
         1,   40029.9,         0,         0,    8466.6,      6504,   3961.48,      3033,   162.138,       191,   144.411,       191,   1779.63,       194,      1480,       157,         0,     8.654,        22,   32412.9,     14081,      6608,     24799,         3,       287
         1,   35186.5,         0,         0,   9521.15,      7872,   4730.83,      3769,   226.923,       257,   212.268,       257,   2272.16,       259,      1877,       215,         0,    40.787,       102,   32412.9,     14081,      6608,     24799,         3,       287
         1,   42401.7,         0,         0,   12351.2,     10173,   6759.16,      5364,   227.171,       253,   217.608,       253,   2136.54,       255,      1766,       203,         0,    37.624,        86,   32412.9,     14081,      6608,     24799,         3,       287
         1,   11765.4,         0,         0,   1003.01,      1052,   265.289,       317,      7.56,        16,     5.522,        16,    91.504,        19,        75,         9,         0,      9.44,        40,   32412.9,     14081,      6608,     24799,         3,       287
         1,   28025.1,         0,         0,   4520.71,      4127,   1482.38,      1379,    70.733,        99,    64.488,        99,   780.615,       100,       658,        75,         0,    21.721,        67,   32412.9,     14081,      6608,     24799,         3,       287
         1,   15849.3,         0,         0,   1121.58,      1243,   257.638,       292,    33.126,        46,    29.663,        46,   404.781,        48,       334,        36,         0,    40.228,       104,   32412.9,     14081,      6608,     24799,         3,       287
         1,   22964.1,         0,         0,   3280.49,      3189,    1097.8,      1037,     31.93,        47,    27.892,        47,   303.327,        48,       250,        30,         0,     0.079,         5,   32412.9,     14081,      6608,     24799,         3,       287
         1,   23126.7,         0,         0,   4305.83,      4012,   1590.26,      1537,    44.322,        64,    40.359,        64,   533.992,        66,       445,        50,         0,     9.109,        31,   32412.9,     14081,      6608,     24799,         3,       287
