         k,      dist,      rank,      vnum, cost_edbt,  gen_edbt,  cost_ki0,   gen_ki0,   cost_ki,    gen_ki, cost_poly,  gen_poly,  cost_ffp,   gen_ffp,   cost_hi,    gen_hi,     hcost,     hcall,    hreuse,reevaluate,  cost_hi2,   gen_hi2,    hcost2,    hcall2,   hreuse2,   cost_fi,    gen_fi,  cost_pre,   gen_pre,   edgecnt,  fencecnt,       pts,     polys
         1,   2120.96,         1,         5,         0,         0,   2713.04,      3682,   143.218,       241,   178.762,        20,     4.314,        20,   1980.66,        22,      1953,        14,         0,         0,   2016.45,        22,      1994,        14,         2,     8.772,        48,    431960,    365015,    188905,    691136,       671,      8385
         1,   1944.05,         2,         4,         0,         0,   1939.19,      3411,    49.094,       162,   140.017,        41,     7.027,        41,   3643.82,        34,      3606,        24,         0,         0,   3601.84,        34,      3556,        24,         4,    12.247,        74,    431960,    365015,    188905,    691136,       671,      8385
         1,   2743.69,         1,         5,         0,         0,   3858.01,      6425,   177.652,       451,   149.945,        46,     9.117,        46,   4412.38,        50,      4362,        33,         0,         0,   4457.16,        50,      4403,        33,         9,     3.328,        41,    431960,    365015,    188905,    691136,       671,      8385
         1,   1908.65,         2,         4,         0,         0,    2242.8,      3675,    69.327,       204,   155.283,        90,    17.105,        90,   2001.96,        24,      1981,        15,         0,         0,   2001.22,        24,      1980,        15,         4,     3.158,        21,    431960,    365015,    188905,    691136,       671,      8385
         1,   1453.38,         1,         2,         0,         0,   1609.92,      2756,    49.822,       111,   132.231,        12,     1.484,        12,   817.717,        16,       805,         6,         0,         0,   883.449,        16,       872,         6,         4,     5.652,        39,    431960,    365015,    188905,    691136,       671,      8385
         1,   2001.73,         1,         2,         0,         0,   1515.19,      2536,    51.405,       156,   133.344,        13,     1.568,        13,   892.043,        15,       878,         6,         0,         0,   962.311,        15,       948,         6,         4,     7.642,        40,    431960,    365015,    188905,    691136,       671,      8385
         1,   2481.13,         1,         4,         0,         0,   2894.53,      5235,    87.903,       274,   134.191,        21,     2.712,        21,   1090.41,        23,      1074,        11,         0,         0,   1084.63,        23,      1067,        11,         4,     4.753,        66,    431960,    365015,    188905,    691136,       671,      8385
         1,   2514.31,         1,         5,         0,         0,   3075.09,      5466,    100.87,       287,   181.619,        74,    12.834,        74,   4837.61,        55,      4774,        40,         0,         0,   5685.04,        55,      5619,        40,         6,     7.834,        54,    431960,    365015,    188905,    691136,       671,      8385
         1,   675.245,         1,         2,         0,         0,   377.944,       600,     8.224,        23,   151.901,         7,     0.608,         7,   364.725,        10,       356,         3,         0,         0,   387.136,        10,       379,         3,         1,     4.769,        43,    431960,    365015,    188905,    691136,       671,      8385
         1,   2719.19,         1,         4,         0,         0,   4091.92,      7276,   148.501,       409,   186.557,        25,      3.86,        25,   2737.48,        27,      2711,        16,         0,         0,   2536.88,        27,      2513,        16,         6,     1.949,        18,    431960,    365015,    188905,    691136,       671,      8385
         1,   2102.54,         1,         4,         0,         0,   2399.11,      4631,    59.775,       182,   135.234,        20,     2.762,        20,   1298.62,        23,      1279,        12,         0,         0,    1326.9,        23,      1309,        12,         4,     5.069,        35,    431960,    365015,    188905,    691136,       671,      8385
         1,   1658.88,         1,         2,         0,         0,   1325.68,      2329,    57.123,       123,   131.756,        11,     1.833,        11,    925.43,        15,       913,         6,         0,         0,    883.88,        15,       871,         6,         4,     2.751,        13,    431960,    365015,    188905,    691136,       671,      8385
         1,   2849.81,         1,         8,         0,         0,   3642.88,      7306,   168.879,       464,   143.521,        43,     7.824,        43,   3642.32,        47,      3590,        31,         0,         0,   2934.67,        47,      2889,        31,         6,     5.555,        37,    431960,    365015,    188905,    691136,       671,      8385
         1,   4271.68,         1,         6,         0,         0,   9563.57,     16028,   465.776,       979,   147.844,        67,    13.716,        67,   7662.27,        67,      7583,        50,         0,         0,      8109,        67,      8029,        50,        11,    14.598,        89,    431960,    365015,    188905,    691136,       671,      8385
         1,   2267.71,         1,         4,         0,         0,   2825.53,      4931,   186.626,       343,   187.365,        32,     8.229,        32,   2892.77,        33,      2854,        23,         0,         0,   2853.91,        33,      2815,        23,         3,     7.608,        27,    431960,    365015,    188905,    691136,       671,      8385
         1,   5415.54,         1,         6,         0,         0,   9061.05,     17530,   667.113,      1386,    153.68,        82,    18.871,        82,   8954.34,        85,      8859,        66,         0,         0,   8860.31,        85,      8766,        66,        11,    12.368,        54,    431960,    365015,    188905,    691136,       671,      8385
         1,   1958.09,         2,         7,         0,         0,   1830.22,      3225,    49.412,       150,   142.594,        48,     8.639,        48,   3552.22,        36,      3512,        26,         0,         0,   3109.07,        36,      3068,        26,         4,    20.508,       109,    431960,    365015,    188905,    691136,       671,      8385
         1,   3359.27,         1,         9,         0,         0,   5421.43,     10519,    354.19,       818,   170.039,        93,    31.943,        93,    9019.2,        96,      8898,        79,         0,         0,      9007,        96,      8886,        79,         9,     4.327,        34,    431960,    365015,    188905,    691136,       671,      8385
         1,   1653.07,         1,         4,         0,         0,   1789.16,      3038,    57.399,       174,   134.059,        24,     4.508,        24,   1792.29,        26,      1767,        19,         0,         0,    1877.5,        26,      1850,        19,         1,     7.888,        62,    431960,    365015,    188905,    691136,       671,      8385
         1,   789.987,         1,         2,         0,         0,   570.936,       978,     9.476,        35,   170.535,         9,     1.172,         9,   635.704,        11,       626,         4,         0,         0,   937.284,        11,       926,         4,         2,     4.565,        27,    431960,    365015,    188905,    691136,       671,      8385
         1,   5246.57,         1,         4,         0,         0,   10820.4,     18360,   650.584,      1366,   152.925,        71,    15.116,        71,      6422,        75,      6337,        55,         0,         0,    6678.5,        75,      6592,        55,        12,     8.907,        49,    431960,    365015,    188905,    691136,       671,      8385
