         k,      dist,      rank,  max_rank,      vnum, cost_edbt,  gen_edbt,  cost_ki0,   gen_ki0,   cost_ki,    gen_ki, cost_poly,  gen_poly,  cost_ffp,   gen_ffp,   cost_hi,    gen_hi,     hcost,     hcall,    hreuse,reevaluate,  cost_hi2,   gen_hi2,    hcost2,    hcall2,   hreuse2,   cost_fi,    gen_fi,  cost_pre,   gen_pre,   edgecnt,  fencecnt,       pts,     polys
         1,   404.802,         2,         2,         2,         0,         0,   185.973,       438,     9.538,        27,   581.324,        22,     2.681,        22,   2620.43,        10,      2614,         4,         0,         0,   2264.99,        10,      2260,         4,         0,     5.765,        37,    496737,    390046,    188905,    307713,      7547,      8385
         1,   300.536,         1,         1,         2,         0,         0,     23.59,        49,     4.109,        11,   452.386,         6,     0.185,         6,   1100.06,         8,      1096,         2,         0,         0,   1122.93,         8,      1119,         2,         0,     5.347,        65,    496737,    390046,    188905,    307713,      7547,      8385
         1,   470.719,         1,         1,         2,         0,         0,   162.918,       317,     7.659,        26,   464.515,         1,     0.023,         1,     0.307,         6,         0,         0,         0,         0,     0.261,         6,         0,         0,         0,     1.964,        24,    496737,    390046,    188905,    307713,      7547,      8385
         1,    264.66,         1,         1,         2,         0,         0,     15.91,        43,     2.265,         9,   436.783,         1,     0.028,         1,     0.387,         5,         0,         0,         0,         0,       0.2,         5,         0,         0,         0,     0.031,         6,    496737,    390046,    188905,    307713,      7547,      8385
         1,   379.332,         1,         1,         2,         0,         0,   133.639,       321,      3.34,        16,   474.611,         1,     0.029,         1,     0.422,         6,         0,         0,         0,         0,     0.306,         6,         0,         0,         0,     5.599,        53,    496737,    390046,    188905,    307713,      7547,      8385
         1,   610.942,         1,         1,         2,         0,         0,   104.907,       291,     8.219,        32,   568.594,         6,       0.6,         6,   1521.95,        10,      1517,         3,         0,         0,    2117.2,        10,      2112,         3,         1,     3.316,        27,    496737,    390046,    188905,    307713,      7547,      8385
         1,   1122.05,         1,         1,         4,         0,         0,   707.959,      1735,    19.382,        60,   472.856,        14,     2.129,        14,   3369.91,        15,      3361,         7,         0,         0,   3140.56,        15,      3133,         7,         3,     6.801,        43,    496737,    390046,    188905,    307713,      7547,      8385
         1,   1205.93,         2,         2,         3,         0,         0,   754.375,      2110,    15.486,        72,   463.548,        38,     5.988,        38,   4094.08,        15,      4085,         9,         0,         0,   3063.67,        15,      3056,         9,         1,    12.673,        82,    496737,    390046,    188905,    307713,      7547,      8385
         1,   724.084,         1,         1,         2,         0,         0,   277.192,       843,    10.808,        46,   441.858,         6,     0.374,         6,   1292.77,        11,      1290,         3,         0,         0,   1066.13,        11,      1063,         3,         1,     2.448,        39,    496737,    390046,    188905,    307713,      7547,      8385
         1,   641.421,         1,         1,         3,         0,         0,   375.539,       841,     9.524,        36,   476.096,         8,     1.609,         8,   1928.75,        13,      1919,         5,         0,         0,   2887.82,        13,      2874,         5,         1,     4.755,        49,    496737,    390046,    188905,    307713,      7547,      8385
         1,   720.025,         1,         1,         2,         0,         0,   486.359,       896,    14.386,        44,   653.438,         9,     2.154,         9,   3358.43,        11,      3352,         4,         0,         0,   3655.66,        11,      3645,         4,         2,     5.146,        33,    496737,    390046,    188905,    307713,      7547,      8385
         1,   168.716,         1,         1,         2,         0,         0,   293.368,       633,     4.103,        15,   478.235,         1,     0.013,         1,     0.537,         6,         0,         0,         0,         0,     0.301,         6,         0,         0,         0,     0.267,        11,    496737,    390046,    188905,    307713,      7547,      8385
         1,   568.747,         1,         1,         2,         0,         0,   485.275,      1186,    17.263,        40,   476.291,         7,     0.695,         7,   1848.19,         9,      1841,         3,         0,         0,   2027.03,         9,      2016,         3,         1,     3.811,        36,    496737,    390046,    188905,    307713,      7547,      8385
         1,   330.675,         1,         1,         2,         0,         0,   243.262,       697,      4.23,        11,   470.631,         5,      0.19,         5,   978.959,         8,       974,         3,         0,         0,   1053.44,         8,      1051,         3,         0,     7.295,        56,    496737,    390046,    188905,    307713,      7547,      8385
         1,   998.359,         1,         1,         3,         0,         0,   656.283,      1949,    10.168,        46,   542.329,        13,     1.573,        13,   2892.66,        15,      2884,         9,         0,         0,      1748,        15,      1739,         9,         0,     6.435,        75,    496737,    390046,    188905,    307713,      7547,      8385
         1,   243.286,         1,         1,         2,         0,         0,   108.155,       247,     3.687,        16,   443.603,         4,     0.034,         4,   895.756,         7,       893,         2,         0,         0,   657.601,         7,       656,         2,         0,     0.227,        12,    496737,    390046,    188905,    307713,      7547,      8385
         1,   431.207,         1,         1,         4,         0,         0,   201.995,       603,     6.178,        30,   562.109,        11,      1.75,        11,   4627.45,        15,      4619,         7,         0,         0,   4361.15,        15,      4353,         7,         1,     7.508,        60,    496737,    390046,    188905,    307713,      7547,      8385
         1,   389.076,         1,         1,         2,         0,         0,    22.515,        53,     5.202,        18,   484.962,         6,     0.377,         6,   1457.12,         9,      1453,         3,         0,         0,   1683.64,         9,      1680,         3,         1,     4.503,        32,    496737,    390046,    188905,    307713,      7547,      8385
         1,   967.869,         1,         1,         2,         0,         0,   733.435,      1715,    18.029,        72,   442.951,         8,     0.352,         8,   1735.86,        10,      1732,         3,         0,         0,   1733.06,        10,      1729,         3,         1,     5.515,        75,    496737,    390046,    188905,    307713,      7547,      8385
         1,   208.339,         1,         1,         2,         0,         0,    16.895,        52,     1.958,        12,   446.281,         8,       0.3,         8,   2333.25,        12,      2328,         3,         0,         0,    3615.4,        12,      3609,         3,         1,     3.324,        97,    496737,    390046,    188905,    307713,      7547,      8385
         1,   374.146,         1,         1,         2,         0,         0,    124.04,       367,      5.95,        24,    488.01,         7,     0.593,         7,   2067.05,        11,      2062,         3,         0,         0,   1992.17,        11,      1987,         3,         1,     5.733,        56,    496737,    390046,    188905,    307713,      7547,      8385
         1,   654.041,         1,         1,         2,         0,         0,   316.709,       875,     6.468,        24,   451.455,         6,     0.391,         6,   1001.61,         9,       999,         3,         0,         0,   911.731,         9,       909,         3,         1,      2.86,        21,    496737,    390046,    188905,    307713,      7547,      8385
         1,   172.047,         1,         1,         2,         0,         0,   247.058,       651,     4.135,        19,   462.407,         1,     0.025,         1,     0.296,         6,         0,         0,         0,         0,     0.281,         6,         0,         0,         0,     0.953,        14,    496737,    390046,    188905,    307713,      7547,      8385
         1,   971.875,         1,         1,         4,         0,         0,   430.452,      1136,     9.063,        38,   452.529,        47,     6.091,        47,   3299.54,        14,      3292,         7,         0,         0,   3783.81,        14,      3775,         7,         1,     7.508,        72,    496737,    390046,    188905,    307713,      7547,      8385
         1,   1152.89,         2,         2,         3,         0,         0,   747.107,      2191,    17.194,        80,   482.533,        33,     4.568,        33,   5175.79,        18,      5162,        11,         0,         0,    4524.8,        18,      4512,        11,         2,     2.812,        29,    496737,    390046,    188905,    307713,      7547,      8385
         1,   704.291,         1,         1,         2,         0,         0,    30.596,        87,     4.955,        25,   445.592,         5,      0.04,         5,   755.043,         9,       752,         2,         0,         0,   761.476,         9,       758,         2,         0,     1.119,        44,    496737,    390046,    188905,    307713,      7547,      8385
         1,   1028.46,         3,         3,         6,         0,         0,     191.1,       457,    28.944,        80,   555.995,       288,     49.47,       288,   20603.5,        49,     20555,        38,         0,         0,   25698.7,        49,     25650,        38,         0,      5.42,        50,    496737,    390046,    188905,    307713,      7547,      8385
         1,   189.842,         1,         1,         2,         0,         0,   215.282,       624,     1.963,        10,   491.789,         6,     0.201,         6,       643,        10,       639,         2,         0,         0,   575.621,        10,       572,         2,         0,     2.217,        44,    496737,    390046,    188905,    307713,      7547,      8385
         1,   323.019,         1,         1,         3,         0,         0,   261.185,       684,     6.347,        28,   539.375,         5,     0.362,         5,   2259.93,        12,      2254,         4,         0,         0,   1754.24,        12,      1748,         4,         1,     2.954,        47,    496737,    390046,    188905,    307713,      7547,      8385
         1,   887.498,         1,         1,         3,         0,         0,   374.868,       729,    16.594,        39,   611.682,         8,      0.99,         8,   3278.33,        12,      3266,         5,         0,         0,   2221.66,        12,      2196,         5,         1,     0.359,        11,    496737,    390046,    188905,    307713,      7547,      8385
         1,   385.876,         1,         1,         2,         0,         0,   151.684,       226,     4.997,        16,   510.733,         5,     0.023,         5,   965.814,        10,       962,         2,         0,         0,   740.798,        10,       738,         2,         0,     0.483,        47,    496737,    390046,    188905,    307713,      7547,      8385
         1,   774.648,         1,         1,         2,         0,         0,   349.351,       704,     7.279,        26,   503.804,         6,     0.222,         6,   720.124,         8,       715,         2,         0,         0,   495.565,         8,       492,         2,         0,     5.168,        54,    496737,    390046,    188905,    307713,      7547,      8385
         1,   413.304,         1,         1,         2,         0,         0,    36.113,        88,      5.68,        18,   589.781,         7,     0.317,         7,   1407.31,        14,      1403,         3,         0,         0,   1470.61,        14,      1465,         3,         1,      3.05,        89,    496737,    390046,    188905,    307713,      7547,      8385
         1,   104.809,         1,         1,         2,         0,         0,    17.329,        40,     1.388,         7,   470.705,         4,     0.035,         4,   1023.29,         7,      1021,         2,         0,         0,   1347.07,         7,      1345,         2,         0,      0.25,        12,    496737,    390046,    188905,    307713,      7547,      8385
         1,    788.44,         3,         3,         2,         0,         0,   323.117,       809,    26.726,        83,   479.082,       162,    22.877,       162,   3878.22,        21,      3867,        10,         0,         0,   3927.43,        21,      3914,        10,         2,     4.728,        61,    496737,    390046,    188905,    307713,      7547,      8385
         1,   759.451,         1,         1,         3,         0,         0,   481.351,      1198,     9.486,        38,   453.313,        10,     1.086,        10,   3283.34,        16,      3275,         6,         0,         0,   2870.24,        16,      2863,         6,         2,     4.166,        30,    496737,    390046,    188905,    307713,      7547,      8385
         1,   490.979,         1,         1,         2,         0,         0,   186.376,       509,     4.478,        16,   472.747,         6,     0.409,         6,   1149.94,        11,      1146,         3,         0,         0,   1057.31,        11,      1053,         3,         1,     4.387,        49,    496737,    390046,    188905,    307713,      7547,      8385
         1,   112.147,         1,         1,         2,         0,         0,    15.198,        28,     2.435,        10,   606.077,         6,     0.456,         6,   1550.21,        10,      1545,         3,         0,         0,   1123.52,        10,      1119,         3,         1,     1.166,        15,    496737,    390046,    188905,    307713,      7547,      8385
         1,   1246.89,         2,         2,         2,         0,         0,   1221.92,      2840,    31.814,        98,   583.516,        35,     4.111,        35,   2049.37,        20,      2039,        10,         0,         0,   1646.26,        20,      1634,        10,         2,    12.055,       117,    496737,    390046,    188905,    307713,      7547,      8385
         1,    462.65,         2,         2,         2,         0,         0,    39.643,        76,     6.135,        17,   454.328,        31,     4.062,        31,   3979.68,        13,      3973,         5,         0,         0,   2810.82,        13,      2805,         5,         2,     6.388,        61,    496737,    390046,    188905,    307713,      7547,      8385
         1,    1280.5,         1,         1,         2,         0,         0,   500.357,      1122,    23.919,        88,    446.85,        11,     1.371,        11,   2605.51,        15,      2596,         6,         0,         0,   3096.27,        15,      3089,         6,         3,      4.58,        43,    496737,    390046,    188905,    307713,      7547,      8385
         1,   890.627,         1,         1,         5,         0,         0,   318.539,       910,    10.305,        42,   440.846,        14,     2.395,        14,   4921.61,        18,      4905,        12,         0,         0,   5391.57,        18,      5375,        12,         0,     7.807,        83,    496737,    390046,    188905,    307713,      7547,      8385
         1,   404.625,         1,         1,         2,         0,         0,   251.891,       622,     6.299,        25,   580.914,         7,     0.954,         7,   1175.66,        10,      1171,         3,         0,         0,   1453.61,        10,      1449,         3,         1,         3,        29,    496737,    390046,    188905,    307713,      7547,      8385
         1,   107.517,         1,         1,         2,         0,         0,    13.194,        26,     1.375,         6,   444.149,         1,     0.012,         1,     0.271,         4,         0,         0,         0,         0,     0.422,         4,         0,         0,         0,     0.028,         4,    496737,    390046,    188905,    307713,      7547,      8385
         1,   581.414,         1,         1,         2,         0,         0,   338.296,       698,     7.507,        29,    560.18,         7,     0.678,         7,   1758.44,        13,      1753,         3,         0,         0,   2026.89,        13,      2022,         3,         1,     1.807,        20,    496737,    390046,    188905,    307713,      7547,      8385
         1,       123,         1,         1,         2,         0,         0,    14.965,        32,      1.59,         7,   587.857,         4,     0.032,         4,    1159.7,         7,      1157,         2,         0,         0,    1331.2,         7,      1329,         2,         0,     4.056,        23,    496737,    390046,    188905,    307713,      7547,      8385
         1,   187.926,         1,         1,         2,         0,         0,   250.127,       591,      1.15,         7,   526.506,         1,     0.031,         1,     0.412,         5,         0,         0,         0,         0,     0.322,         5,         0,         0,         0,     5.006,        37,    496737,    390046,    188905,    307713,      7547,      8385
         1,   285.687,         1,         1,         2,         0,         0,   211.412,       405,     4.078,        23,   552.817,         5,     0.041,         5,   1035.25,         9,      1033,         2,         0,         0,   1241.79,         9,      1240,         2,         0,     1.416,        50,    496737,    390046,    188905,    307713,      7547,      8385
