         k,      dist,      rank,  max_rank,      vnum,   tot_hit, cost_edbt,  gen_edbt,   cost_ki,    gen_ki,  cost_ffp,   gen_ffp,rtree_cost, cost_poly,  gen_poly, sort_cost,   cost_hi,    gen_hi,     hcost,     hcall,    hreuse,reevaluate,   cost_fc,    gen_fc,   cost_fi,    gen_fi,  cost_pre,   gen_pre,   edgecnt,  fencecnt,    keycnt,      miss,false_retrieval,       pts,     polys,  vertices,         x,         y
         1,   4825.39,         1,         1,         9,         1,         0,         0,   489.201,      1354,    35.867,       138,         0,         0,         0,         0,   4943.62,       140,      4818,       112,        15,         0,     5.004,        38,    36.981,        42,    488361,    386126,    188905,    345943,    134320,         0,         0,       110,      8385,    109171,     28841,     62532
         1,   342.231,         1,         1,         2,         1,         0,         0,     3.633,        13,     0.469,         7,         0,         0,         0,         0,    105.47,         9,       102,         3,         1,         0,     1.196,        17,     3.409,         9,    488361,    386126,    188905,    345943,    134320,         0,         0,       110,      8385,    109171,     46893,     55542
         1,   5651.57,         1,         1,        13,         1,         0,         0,   968.948,      2244,    35.425,       164,         0,         0,         0,         0,   6030.54,       168,      5913,       134,        18,         0,     3.091,        57,    36.646,        47,    488361,    386126,    188905,    345943,    134320,         0,         0,       110,      8385,    109171,     44965,     83154
         1,   5901.39,         1,         1,        11,         1,         0,         0,   805.571,      2466,    15.578,        83,         0,         0,         0,         0,    3333.1,        85,      3276,        65,         9,         0,     3.778,        31,    31.491,        43,    488361,    386126,    188905,    345943,    134320,         0,         0,       110,      8385,    109171,     68666,     60777
         1,   2592.29,         1,         1,         4,         1,         0,         0,   124.986,       383,     5.565,        30,         0,         0,         0,         0,    919.65,        34,       901,        19,         8,         0,     1.233,        21,     11.32,        24,    488361,    386126,    188905,    345943,    134320,         0,         0,       110,      8385,    109171,     23981,     90726
         1,   2289.43,         1,         1,         4,         1,         0,         0,   112.388,       317,     4.347,        28,         0,         0,         0,         0,   771.365,        28,       754,        18,         4,         0,     5.174,        41,    10.133,        18,    488361,    386126,    188905,    345943,    134320,         0,         0,       110,      8385,    109171,     64951,     93369
         1,   5236.55,         1,         1,         5,         1,         0,         0,   651.152,      1823,    26.394,       116,         0,         0,         0,         0,    3168.8,       118,      3085,        89,        18,         0,     3.929,        33,    27.993,        41,    488361,    386126,    188905,    345943,    134320,         0,         0,       110,      8385,    109171,     76108,     22251
         1,   2301.37,         1,         1,         2,         1,         0,         0,    86.184,       300,     1.919,        19,         0,         0,         0,         0,   367.999,        23,       359,        10,         7,         0,     5.739,        46,     9.099,        21,    488361,    386126,    188905,    345943,    134320,         0,         0,       110,      8385,    109171,     78288,     24314
         1,   3529.19,         1,         1,         5,         1,         0,         0,   253.171,       766,    11.656,        58,         0,         0,         0,         0,   2597.74,        60,      2554,        44,        10,         0,     7.169,        55,    14.567,        25,    488361,    386126,    188905,    345943,    134320,         0,         0,       110,      8385,    109171,     37182,     43995
         1,   5412.48,         1,         1,         3,         1,         0,         0,   618.328,      1830,     6.201,        33,         0,         0,         0,         0,   780.239,        35,       761,        18,        12,         0,     1.828,        19,     27.12,        35,    488361,    386126,    188905,    345943,    134320,         0,         0,       110,      8385,    109171,     33013,     87590
