         k,      dist,      rank,  max_rank,      vnum, cost_edbt,  gen_edbt,  cost_ki0,   gen_ki0,   cost_ki,    gen_ki, cost_poly,  gen_poly,  cost_ffp,   gen_ffp,   cost_hi,    gen_hi,     hcost,     hcall,    hreuse,reevaluate,  cost_hi2,   gen_hi2,    hcost2,    hcall2,   hreuse2,   cost_fi,    gen_fi,  cost_pre,   gen_pre,   edgecnt,  fencecnt,       pts,     polys
         1,   42.7219,         1,         1,         3,         0,         0,   216.172,       216,   129.327,       170,     9.173,        19,     4.724,        19,    119.49,        21,       102,        12,         0,         0,   114.476,        21,        98,        12,         4,    22.272,        89,   17841.6,      9773,      8391,      9446,         3,        47
         1,    174.22,         3,         3,        13,         0,         0,   343.674,       568,   319.906,       521,   1660.94,      1726,   1466.42,      1726,   2431.03,       327,      2033,       255,         0,         0,   3404.51,       327,      2797,       255,        54,    14.603,        37,   17841.6,      9773,      8391,      9446,         3,        47
         1,   19.2094,         1,         1,         2,         0,         0,    29.664,        35,    13.728,        19,     6.077,        14,     4.274,        14,    93.286,        16,        79,         7,         0,         0,     90.95,        16,        77,         7,         4,    12.389,        31,   17841.6,      9773,      8391,      9446,         3,        47
         1,   101.081,         1,         1,         6,         0,         0,   620.275,       629,   409.289,       531,    70.332,        86,    58.952,        86,   635.269,        88,       538,        69,         0,         0,   829.689,        88,       712,        69,        13,    56.155,       205,   17841.6,      9773,      8391,      9446,         3,        47
         1,   122.609,         2,         2,        10,         0,         0,   591.616,       483,   427.538,       378,   294.294,       383,   263.206,       383,   2172.76,       196,      1809,       173,         0,         0,   1951.32,       196,      1666,       173,        16,      12.9,        69,   17841.6,      9773,      8391,      9446,         3,        47
         1,   44.5533,         1,         1,         2,         0,         0,   148.487,       229,   101.977,       179,      5.11,        17,     4.029,        17,    73.045,        19,        59,         8,         0,         0,    68.819,        19,        56,         8,         5,    19.964,       103,   17841.6,      9773,      8391,      9446,         3,        47
         1,   310.687,         3,         3,        21,         0,         0,   1850.88,      1734,   1882.81,      1647,   3828.92,      2923,    3029.8,      2923,   11140.1,      1041,      9135,       920,         0,         0,   13726.7,      1041,     11124,       920,        83,     6.121,        17,   17841.6,      9773,      8391,      9446,         3,        47
         1,   247.076,         2,         2,        16,         0,         0,   2632.97,      1594,   2909.64,      1522,   2734.27,      2749,   2743.94,      2749,   10619.5,       845,      8399,       746,         0,         0,   9723.76,       845,      8204,       746,        68,     5.756,        15,   17841.6,      9773,      8391,      9446,         3,        47
         1,   183.579,         2,         2,        12,         0,         0,   1130.92,      1339,   1381.19,      1235,   459.188,       599,   504.716,       599,   2649.26,       222,      2220,       195,         0,         0,   2152.91,       222,      1788,       195,        18,     5.573,        34,   17841.6,      9773,      8391,      9446,         3,        47
         1,   142.459,         2,         2,        10,         0,         0,   945.286,       924,   679.457,       806,   336.999,       441,   306.729,       441,    2528.8,       212,      2129,       179,         0,         0,    2017.1,       212,      1684,       179,        25,    41.377,       191,   17841.6,      9773,      8391,      9446,         3,        47
         1,   285.353,         3,         3,        17,         0,         0,   1636.97,      1740,   1192.67,      1652,   3334.64,      2943,   2367.23,      2943,   11308.8,      1049,      9363,       932,         0,         0,   12635.3,      1049,     10308,       932,        78,    33.299,        39,   17841.6,      9773,      8391,      9446,         3,        47
