         k,      dist,      rank,  max_rank,      vnum, cost_edbt,  gen_edbt,  cost_ki0,   gen_ki0,   cost_ki,    gen_ki, cost_poly,  gen_poly,  cost_ffp,   gen_ffp,   cost_hi,    gen_hi,     hcost,     hcall,    hreuse,reevaluate,  cost_hi2,   gen_hi2,    hcost2,    hcall2,   hreuse2,   cost_fi,    gen_fi,  cost_pre,   gen_pre,   edgecnt,  fencecnt,       pts,     polys
         1,   169.668,         2,         2,         7,         0,         0,   776.526,      1231,   352.881,       727,   1351.02,      2797,   1070.92,      2797,   2387.08,       250,      2148,       184,         0,         0,   2363.84,       250,      2124,       184,        60,    25.755,       145,   25748.6,     29972,     23223,     28503,         7,       157
         1,   219.284,         2,         2,         6,         0,         0,   1550.47,      2744,   962.571,      2081,   1897.38,      4241,   1927.23,      4241,   2974.04,       318,      2700,       232,         0,         0,   2834.97,       318,      2574,       232,        78,     14.78,        67,   25748.6,     29972,     23223,     28503,         7,       157
         1,   289.749,         2,         2,        13,         0,         0,   1346.72,      2387,   730.146,      1789,   3674.01,      8907,   3410.36,      8907,   15609.3,      1376,     14161,      1248,         0,         0,     15292,      1376,     13826,      1248,        96,     7.041,        33,   25748.6,     29972,     23223,     28503,         7,       157
         1,   315.696,         1,         1,        11,         0,         0,   593.929,      1166,   323.831,       733,   1920.38,      4175,   1668.45,      4175,   4178.04,       421,      3793,       343,         0,         0,      4169,       421,      3784,       343,        45,    25.048,       135,   25748.6,     29972,     23223,     28503,         7,       157
         1,   116.315,         1,         1,         8,         0,         0,   326.492,       709,   134.721,       333,    38.373,        81,    29.921,        81,   738.782,        83,       659,        59,         0,         0,   726.124,        83,       652,        59,        16,     4.235,        50,   25748.6,     29972,     23223,     28503,         7,       157
         1,   438.304,         6,         6,        11,         0,         0,   787.898,      1865,   655.651,      1605,   3948.16,      9055,   3681.55,      9055,   7623.21,       698,      6868,       631,         0,         0,   7491.11,       698,      6745,       631,        50,    52.147,       197,   25748.6,     29972,     23223,     28503,         7,       157
         1,   40.0606,         1,         1,         3,         0,         0,   543.631,      1376,   158.255,       413,     4.394,        22,     3.118,        22,   147.035,        22,       129,        11,         0,         0,   141.788,        22,       124,        11,         5,    19.659,       155,   25748.6,     29972,     23223,     28503,         7,       157
         1,   361.812,         1,         1,        17,         0,         0,   896.451,      2402,   694.147,      1803,   3530.49,      9090,   3463.12,      9090,   15412.5,      1401,     14020,      1260,         0,         0,   15373.4,      1401,     14007,      1260,       101,    28.287,       173,   25748.6,     29972,     23223,     28503,         7,       157
         1,   41.0366,         1,         1,         2,         0,         0,    19.328,        81,     7.681,        50,     3.067,        25,     1.937,        25,   147.863,        28,       138,        12,         0,         0,   144.029,        28,       135,        12,        10,     6.913,        79,   25748.6,     29972,     23223,     28503,         7,       157
         1,   70.0416,         2,         2,         5,         0,         0,   301.006,       937,    147.37,       422,     40.86,       150,    32.721,       150,   302.114,        41,       275,        24,         0,         0,   294.097,        41,       267,        24,        10,    80.883,       455,   25748.6,     29972,     23223,     28503,         7,       157
         1,   360.198,         1,         1,        15,         0,         0,   880.128,      2409,   691.074,      1810,   3726.36,      9120,   3482.45,      9120,   15535.2,      1406,     14137,      1263,         0,         0,   15539.4,      1406,     14140,      1263,       102,    20.674,       159,   25748.6,     29972,     23223,     28503,         7,       157
         1,   71.4133,         1,         1,         6,         0,         0,   580.443,      1429,   322.687,       778,    10.451,        59,     8.299,        59,    446.38,        59,       405,        40,         0,         0,     444.3,        59,       399,        40,        11,    72.266,       422,   25748.6,     29972,     23223,     28503,         7,       157
