         k,      dist,      rank,      vnum, cost_edbt,  gen_edbt,  cost_ki0,   gen_ki0,   cost_ki,    gen_ki, cost_poly,  gen_poly,  cost_ffp,   gen_ffp,   cost_hi,    gen_hi,     hcost,     hcall,    hreuse,reevaluate,  cost_hi2,   gen_hi2,    hcost2,    hcall2,   hreuse2,   cost_fi,    gen_fi,  cost_pre,   gen_pre,   edgecnt,  fencecnt,       pts,     polys
         1,   25.7324,         1,         3,         0,         0,   160.784,       228,    23.462,        68,    23.654,        14,     1.532,        14,   602.621,        17,       586,         8,         0,         0,   596.097,        17,       583,         8,         3,     4.916,        49,   22016.1,     27283,     23223,     51413,        63,       157
         1,   32.4506,         1,         5,         0,         0,   178.648,       239,    47.534,        85,    18.439,        21,     5.082,        21,   940.134,        23,       915,        11,         0,         0,   934.279,        23,       910,        11,         5,     3.149,        25,   22016.1,     27283,     23223,     51413,        63,       157
         1,   29.0105,         2,         8,         0,         0,    141.08,       221,    25.855,        78,    31.539,        67,    15.838,        67,    1846.4,        32,      1815,        20,         0,         0,   1746.61,        32,      1715,        20,         7,     0.025,         3,   22016.1,     27283,     23223,     51413,        63,       157
         1,        18,         1,         2,         0,         0,    81.615,       173,     3.861,         8,    12.162,         5,     0.361,         5,     5.993,         6,         0,         0,         0,         0,     5.562,         6,         0,         0,         0,       3.1,        23,   22016.1,     27283,     23223,     51413,        63,       157
         1,   78.2624,         3,         2,         0,         0,   181.818,       365,    95.204,       235,   2397.42,      3480,   2138.07,      3480,   4110.22,        63,      4040,        42,         0,         0,   3982.09,        63,      3918,        42,        14,     9.147,        67,   22016.1,     27283,     23223,     51413,        63,       157
         1,   9.21954,         1,         2,         0,         0,    50.357,        94,     0.983,         8,    12.381,         1,     0.013,         1,     0.839,         6,         0,         0,         0,         0,     0.467,         6,         0,         0,         0,     0.078,         8,   22016.1,     27283,     23223,     51413,        63,       157
         1,   146.192,         1,        10,         0,         0,   265.483,       435,   183.611,       385,   2971.36,      6218,   2582.86,      6218,     16822,       247,     16487,       187,         0,         0,   19114.4,       247,     18736,       187,        36,     0.327,        19,   22016.1,     27283,     23223,     51413,        63,       157
         1,   15.2971,         1,         2,         0,         0,    46.384,       118,     4.247,        28,    12.378,         7,     0.243,         7,   159.146,        10,       155,         3,         0,         0,   157.562,        10,       153,         3,         1,    32.663,       331,   22016.1,     27283,     23223,     51413,        63,       157
         1,   85.3498,         7,         7,         0,         0,   214.792,       373,    89.085,       261,   3276.18,      6883,   3066.22,      6883,   14428.9,       197,     14153,       158,         0,         0,   14231.8,       197,     13992,       158,        21,    45.693,       286,   22016.1,     27283,     23223,     51413,        63,       157
         1,   22.0227,         1,         2,         0,         0,    29.097,        83,     5.752,        29,    12.875,        12,      0.99,        12,    239.57,        14,       234,         3,         0,         0,   238.267,        14,       233,         3,         3,    11.042,       129,   22016.1,     27283,     23223,     51413,        63,       157
         1,   33.3017,         2,         2,         0,         0,    48.564,        83,     13.96,        50,   120.433,       256,    80.791,       256,   490.227,        18,       479,         8,         0,         0,   547.785,        18,       536,         8,         4,     3.399,        37,   22016.1,     27283,     23223,     51413,        63,       157
         1,   33.8378,         1,         2,         0,         0,    23.349,        15,     4.667,         7,    12.612,         5,     0.851,         5,    96.326,         7,        89,         2,         0,         0,    94.127,         7,        87,         2,         0,     2.162,        13,   22016.1,     27283,     23223,     51413,        63,       157
         1,    73.349,         3,         4,         0,         0,   180.829,       303,    54.258,       122,   1606.23,      3377,   1403.38,      3377,   3603.92,        70,      3518,        52,         0,         0,   3643.23,        70,      3570,        52,        12,     6.591,        43,   22016.1,     27283,     23223,     51413,        63,       157
         1,   38.0132,         1,         2,         0,         0,    58.819,        91,    10.821,        34,    13.055,        13,     1.284,        13,   500.191,        16,       491,         6,         0,         0,   496.457,        16,       486,         6,         4,     4.541,        43,   22016.1,     27283,     23223,     51413,        63,       157
         1,   140.633,         1,         9,         0,         0,   266.513,       424,   169.966,       376,   2855.59,      6106,   2699.59,      6106,   16844.8,       247,     16519,       185,         0,         0,   16591.1,       247,     16263,       185,        37,    14.268,        81,   22016.1,     27283,     23223,     51413,        63,       157
         1,   37.8021,         1,         2,         0,         0,    88.633,       176,     17.65,        57,    16.242,        22,     2.521,        22,   1247.55,        26,      1229,        11,         0,         0,   1091.26,        26,      1075,        11,         8,     9.055,        70,   22016.1,     27283,     23223,     51413,        63,       157
         1,   121.194,         2,        10,         0,         0,   236.029,       423,   156.033,       369,   2197.09,      4607,   2059.08,      4607,   13679.1,       208,     13418,       151,         0,         0,   13506.6,       208,     13253,       151,        34,     1.821,        25,   22016.1,     27283,     23223,     51413,        63,       157
         1,   170.611,         6,        13,         0,         0,   197.812,       400,   151.193,       343,   2924.57,      6367,   2810.47,      6367,   22938.9,       318,     22444,       261,         0,         0,   22869.8,       318,     22402,       261,        30,     8.456,        46,   22016.1,     27283,     23223,     51413,        63,       157
         1,   29.4036,         1,         6,         0,         0,   274.951,       437,    63.647,       152,    17.219,        20,     3.845,        20,   1242.13,        23,      1223,        14,         0,         0,   1303.27,        23,      1283,        14,         4,     1.208,        15,   22016.1,     27283,     23223,     51413,        63,       157
         1,   20.1246,         1,         2,         0,         0,    49.187,        81,     4.173,        16,    12.851,        10,     1.233,        10,   250.947,        12,       244,         4,         0,         0,   248.812,        12,       242,         4,         2,    15.968,       112,   22016.1,     27283,     23223,     51413,        63,       157
         1,   28.6356,         1,         2,         0,         0,    17.578,        83,     7.849,        40,    12.693,         9,     0.721,         9,     326.3,        12,       321,         4,         0,         0,   359.577,        12,       355,         4,         2,     2.513,        31,   22016.1,     27283,     23223,     51413,        63,       157
         1,   12.0416,         1,         2,         0,         0,    50.789,        78,     5.449,        21,    11.933,         1,     0.013,         1,      0.52,         6,         0,         0,         0,         0,     0.489,         6,         0,         0,         0,     3.184,        44,   22016.1,     27283,     23223,     51413,        63,       157
         1,   94.0479,         2,         2,         0,         0,    65.404,       102,    28.007,        92,   378.518,       698,   262.269,       698,   3465.44,        65,      3403,        36,         0,         0,   3321.11,        65,      3264,        36,        20,    13.789,        79,   22016.1,     27283,     23223,     51413,        63,       157
         1,   15.9814,         1,         3,         0,         0,   108.896,       208,    12.038,        42,    14.584,        13,     1.874,        13,   626.663,        17,       613,         9,         0,         0,   532.275,        17,       520,         9,         2,     0.157,        11,   22016.1,     27283,     23223,     51413,        63,       157
         1,   49.3356,         1,         2,         0,         0,    21.919,        85,      5.35,        38,    28.587,        23,     2.603,        23,    943.22,        26,       926,        11,         0,         0,    944.55,        26,       929,        11,         9,     8.266,        73,   22016.1,     27283,     23223,     51413,        63,       157
         1,   51.8845,         1,         2,         0,         0,   103.294,       218,    33.263,       120,    15.709,        34,     4.044,        34,   1331.74,        36,      1306,        17,         0,         0,   1325.31,        36,      1302,        17,        13,    14.256,       106,   22016.1,     27283,     23223,     51413,        63,       157
         1,    12.083,         1,         2,         0,         0,    29.199,        54,     5.337,        12,      12.2,         5,      0.36,         5,   194.297,         7,       190,         2,         0,         0,   194.969,         7,       191,         2,         0,     1.059,        13,   22016.1,     27283,     23223,     51413,        63,       157
         1,   151.212,         5,         2,         0,         0,   129.452,       175,    87.325,       154,    1962.9,      3770,   1780.91,      3770,   7871.48,       111,      7663,        89,         0,         0,   7677.44,       111,      7473,        89,         5,     56.62,       231,   22016.1,     27283,     23223,     51413,        63,       157
         1,   51.3517,         1,         2,         0,         0,   221.114,       391,    35.062,       101,    14.988,        16,     2.289,        16,   486.541,        18,       473,         7,         0,         0,   555.705,        18,       543,         7,         5,     7.917,        52,   22016.1,     27283,     23223,     51413,        63,       157
         1,   24.8395,         1,         2,         0,         0,    45.178,        78,     3.526,        16,    12.497,        13,     1.419,        13,   194.293,        14,       187,         3,         0,         0,   189.996,        14,       183,         3,         5,     5.093,        43,   22016.1,     27283,     23223,     51413,        63,       157
         1,   38.4583,         1,         6,         0,         0,    161.61,       271,    51.018,       121,    27.055,        50,    11.066,        50,    3229.9,        52,      3169,        37,         0,         0,   3261.88,        52,      3206,        37,        10,    10.148,        66,   22016.1,     27283,     23223,     51413,        63,       157
         1,   28.0185,         1,         3,         0,         0,   182.983,       311,    37.837,        94,    13.685,        12,     1.435,        12,   410.671,        13,       403,         5,         0,         0,   406.606,        13,       399,         5,         3,      6.51,        49,   22016.1,     27283,     23223,     51413,        63,       157
         1,   35.1141,         1,         2,         0,         0,   118.071,       239,     40.24,        98,    12.974,        13,     1.201,        13,   561.225,        16,       551,         6,         0,         0,   523.237,        16,       516,         6,         4,     4.285,        43,   22016.1,     27283,     23223,     51413,        63,       157
         1,   29.6816,         1,         2,         0,         0,    55.458,       110,     7.171,        13,    12.894,         5,     0.626,         5,   158.184,         7,       154,         2,         0,         0,   156.014,         7,       151,         2,         0,     1.696,        13,   22016.1,     27283,     23223,     51413,        63,       157
         1,    119.05,         2,         2,         0,         0,    52.595,        98,        27,        90,   375.609,       704,   264.144,       704,   3813.62,        71,      3745,        40,         0,         0,   3685.69,        71,      3618,        40,        22,      19.2,       103,   22016.1,     27283,     23223,     51413,        63,       157
         1,   23.7697,         1,         2,         0,         0,    61.304,        63,     8.251,        32,    11.649,         5,     0.051,         5,    89.767,         8,        86,         2,         0,         0,    88.271,         8,        85,         2,         0,     0.242,        20,   22016.1,     27283,     23223,     51413,        63,       157
         1,        51,         1,         2,         0,         0,   199.338,       371,    46.638,       134,    13.836,        18,     2.292,        18,   906.361,        20,       892,         8,         0,         0,    859.81,        20,       848,         8,         6,     8.316,        58,   22016.1,     27283,     23223,     51413,        63,       157
         1,   69.5802,         1,         5,         0,         0,   261.443,       467,    47.194,       135,     82.48,       212,    55.437,       212,    6405.5,        81,      6316,        58,         0,         0,   6434.88,        81,      6350,        58,        17,    15.022,       113,   22016.1,     27283,     23223,     51413,        63,       157
         1,        24,         2,         2,         0,         0,   153.749,       308,    40.613,       128,   103.709,       214,    73.048,       214,   2663.41,        54,      2604,        41,         0,         0,   2602.13,        54,      2544,        41,         4,     0.544,        13,   22016.1,     27283,     23223,     51413,        63,       157
         1,   8.06226,         1,         2,         0,         0,    43.998,       100,     2.851,        12,    11.811,         5,     0.053,         5,   131.982,         8,       129,         2,         0,         0,   130.252,         8,       127,         2,         0,     0.314,        20,   22016.1,     27283,     23223,     51413,        63,       157
         1,   62.2038,         4,         3,         0,         0,   138.599,       308,      38.1,       101,   1379.07,      2723,   1162.71,      2723,   2758.13,        59,      2699,        38,         0,         0,   2636.74,        59,      2577,        38,        16,     5.448,        35,   22016.1,     27283,     23223,     51413,        63,       157
         1,   28.2843,         1,         2,         0,         0,     73.29,        70,    13.647,        31,    12.999,         7,      0.96,         7,   254.764,         9,       248,         3,         0,         0,   251.762,         9,       246,         3,         1,     2.475,        17,   22016.1,     27283,     23223,     51413,        63,       157
         1,   45.3028,         1,         5,         0,         0,   194.166,       281,    59.304,       126,    25.023,        48,     10.38,        48,   3077.93,        50,      3023,        36,         0,         0,   3259.46,        50,      3200,        36,         8,    26.724,       163,   22016.1,     27283,     23223,     51413,        63,       157
         1,   65.9636,         3,         3,         0,         0,    69.414,       103,    54.803,        87,   415.006,       833,   331.931,       833,   3242.26,        49,      3180,        37,         0,         0,   3070.52,        49,      3008,        37,         7,     0.037,         3,   22016.1,     27283,     23223,     51413,        63,       157
         1,   27.8568,         1,         2,         0,         0,    46.316,        86,     9.567,        32,    12.136,         5,     0.057,         5,    99.878,         8,        96,         2,         0,         0,    88.601,         8,        86,         2,         0,     0.318,        20,   22016.1,     27283,     23223,     51413,        63,       157
         1,   118.136,         6,         4,         0,         0,   365.845,       648,    94.181,       246,   654.781,      1640,   555.821,      1640,    9744.3,       144,      9576,       112,         0,         0,   9710.65,       144,      9554,       112,        26,    54.142,       324,   22016.1,     27283,     23223,     51413,        63,       157
         1,   66.5282,         4,         2,         0,         0,    59.672,       103,     31.17,        81,   388.632,       697,   319.958,       697,    1475.6,        29,      1443,        22,         0,         0,   1403.76,        29,      1373,        22,         2,     4.026,        23,   22016.1,     27283,     23223,     51413,        63,       157
         1,   76.0711,         3,         5,         0,         0,   287.023,       564,     73.81,       174,   1799.42,      3419,   1588.86,      3419,   5820.28,        71,      5726,        61,         0,         0,   5964.85,        71,      5866,        61,         5,    13.805,        72,   22016.1,     27283,     23223,     51413,        63,       157
         1,   64.2573,         2,         2,         0,         0,   244.242,       375,    45.221,       107,   1134.79,      1825,   844.932,      1825,   2999.67,        56,      2949,        33,         0,         0,   2948.39,        56,      2900,        33,        17,    17.493,       112,   22016.1,     27283,     23223,     51413,        63,       157
