         k,      dist,      rank,  max_rank,      vnum, cost_edbt,  gen_edbt,  cost_ki0,   gen_ki0,   cost_ki,    gen_ki, cost_poly,  gen_poly,  cost_ffp,   gen_ffp,   cost_hi,    gen_hi,     hcost,     hcall,    hreuse,reevaluate,  cost_hi2,   gen_hi2,    hcost2,    hcall2,   hreuse2,   cost_fi,    gen_fi,  cost_pre,   gen_pre,   edgecnt,  fencecnt,       pts,     polys
         1,    28.131,         1,         1,         5,         0,         0,    88.992,       112,    37.271,        65,    14.748,        24,     7.328,        24,   353.052,        24,       332,        13,         0,         0,   332.615,        24,       316,        13,         5,     6.306,        34,     11493,      8432,      6246,      8037,         8,        75
         1,   49.1719,         1,         1,         4,         0,         0,   231.655,       328,   147.165,       226,     6.439,        19,     3.966,        19,   260.861,        22,       244,        11,         0,         0,    257.91,        22,       241,        11,         5,    20.758,       115,     11493,      8432,      6246,      8037,         8,        75
         1,   162.042,         2,         2,         5,         0,         0,   961.336,      1323,   606.744,       898,   174.748,       363,   184.755,       363,   4023.31,       215,      3712,       165,         0,         0,   3788.92,       215,      3507,       165,        37,    83.305,       244,     11493,      8432,      6246,      8037,         8,        75
         1,    106.42,         1,         1,         8,         0,         0,   559.988,       934,   500.437,       827,    58.087,       168,    46.275,       168,   3542.86,       168,      3344,       138,         0,         0,   3611.02,       168,      3365,       138,        23,    65.659,       304,     11493,      8432,      6246,      8037,         8,        75
         1,   92.3902,         1,         1,         6,         0,         0,    446.37,       839,   428.613,       710,    46.219,        95,    36.396,        95,   1382.24,        95,      1291,        65,         0,         0,   1541.61,        95,      1443,        65,        22,    44.005,       236,     11493,      8432,      6246,      8037,         8,        75
         1,   38.0132,         1,         1,         2,         0,         0,   184.195,       281,    103.18,       197,     5.273,        16,     2.881,        16,   222.243,        19,       212,         8,         0,         0,   215.811,        19,       205,         8,         6,    11.704,        53,     11493,      8432,      6246,      8037,         8,        75
         1,   33.0606,         1,         1,         2,         0,         0,    244.21,       337,    55.957,       119,     3.694,        11,     1.583,        11,   137.477,        14,       129,         5,         0,         0,   129.165,        14,       122,         5,         3,     5.816,        37,     11493,      8432,      6246,      8037,         8,        75
         1,   49.2053,         1,         1,         4,         0,         0,     71.52,       103,    38.343,        74,    16.924,        30,    10.575,        30,   482.566,        35,       448,        22,         0,         0,   537.911,        35,       501,        22,         7,     4.429,        15,     11493,      8432,      6246,      8037,         8,        75
         1,   147.329,         2,         2,         8,         0,         0,   356.169,       570,   201.265,       384,   121.525,       284,    89.373,       284,   2811.41,       149,      2636,       112,         0,         0,    2310.4,       149,      2147,       112,        24,     13.68,        83,     11493,      8432,      6246,      8037,         8,        75
         1,     40.05,         1,         1,         2,         0,         0,   175.006,       287,    96.138,       195,     3.355,        16,     1.891,        16,   215.367,        19,       205,         8,         0,         0,   194.665,        19,       185,         8,         6,      7.71,        53,     11493,      8432,      6246,      8037,         8,        75
         1,   23.7001,         1,         1,         3,         0,         0,    84.096,       131,    21.661,        59,      7.66,        15,     4.684,        15,   168.868,        15,       156,         6,         0,         0,   156.428,        15,       144,         6,         4,     6.419,        24,     11493,      8432,      6246,      8037,         8,        75
         1,    30.736,         1,         1,         7,         0,         0,   132.211,       208,    41.404,        88,    11.674,        38,     6.758,        38,   766.647,        38,       727,        25,         0,         0,   668.153,        38,       636,        25,         5,     3.708,        36,     11493,      8432,      6246,      8037,         8,        75
         1,    133.79,         1,         1,         6,         0,         0,   731.786,      1196,     635.8,      1036,   835.071,      1111,   718.336,      1111,   1302.59,        88,      1223,        68,         0,         0,   1640.09,        88,      1546,        68,        14,     5.027,        16,     11493,      8432,      6246,      8037,         8,        75
         1,   56.5099,         1,         1,         5,         0,         0,   222.533,       312,     81.94,       148,    19.676,        39,    13.886,        39,   578.833,        42,       536,        27,         0,         0,   575.664,        42,       533,        27,         9,    12.714,        40,     11493,      8432,      6246,      8037,         8,        75
         1,   30.3637,         1,         1,         4,         0,         0,    79.683,       125,    35.809,        78,     9.837,        23,     6.306,        23,   376.722,        25,       353,        16,         0,         0,   532.274,        25,       508,        16,         3,     9.911,        50,     11493,      8432,      6246,      8037,         8,        75
         1,   101.024,         1,         1,         7,         0,         0,   519.148,       918,   456.617,       775,    44.111,        98,    35.362,        98,   1592.76,        98,      1494,        67,         0,         0,   1641.24,        98,      1541,        67,        22,    46.105,       300,     11493,      8432,      6246,      8037,         8,        75
         1,   23.4845,         1,         1,         4,         0,         0,   103.749,       170,    67.486,        78,     6.788,        16,     3.112,        16,    183.78,        16,       172,         8,         0,         0,   205.688,        16,       194,         8,         2,     13.85,        76,     11493,      8432,      6246,      8037,         8,        75
         1,   90.3017,         1,         1,         7,         0,         0,   539.403,       824,   415.314,       712,    36.575,        67,    27.979,        67,   1366.14,        67,      1281,        53,         0,         0,   1309.17,        67,      1226,        53,         8,     8.931,        50,     11493,      8432,      6246,      8037,         8,        75
         1,   48.0104,         1,         1,         2,         0,         0,   116.091,       156,    39.576,        80,     9.935,        24,     6.827,        24,   458.252,        27,       436,        12,         0,         0,    283.15,        27,       264,        12,         9,    13.638,        52,     11493,      8432,      6246,      8037,         8,        75
         1,   60.0333,         1,         1,         2,         0,         0,   278.831,       328,   173.973,       262,     8.706,        22,     6.412,        22,     239.7,        24,       220,        11,         0,         0,   238.181,        24,       219,        11,         7,    26.513,       108,     11493,      8432,      6246,      8037,         8,        75
         1,   10.6301,         1,         1,         2,         0,         0,    50.512,        90,     8.593,        24,     4.485,        11,      1.75,        11,   130.847,        15,       122,         5,         0,         0,   129.904,        15,       123,         5,         3,     6.317,        32,     11493,      8432,      6246,      8037,         8,        75
         1,   16.4012,         1,         1,         2,         0,         0,    98.715,       155,    18.481,        47,     5.557,        13,     3.025,        13,   169.449,        15,       159,         7,         0,         0,   154.174,        15,       144,         7,         4,     4.696,        15,     11493,      8432,      6246,      8037,         8,        75
         1,   36.2353,         1,         1,         2,         0,         0,   298.819,       440,   125.663,       253,     7.472,        25,     5.212,        25,   305.474,        28,       285,        13,         0,         0,   297.713,        28,       280,        13,        10,    13.733,        57,     11493,      8432,      6246,      8037,         8,        75
         1,   57.7526,         1,         1,         7,         0,         0,   381.618,       547,   154.678,       314,    41.709,        92,    31.573,        92,   1770.12,        92,      1678,        70,         0,         0,   1706.64,        92,      1615,        70,        12,    17.137,        86,     11493,      8432,      6246,      8037,         8,        75
         1,   49.0055,         1,         1,         6,         0,         0,    95.726,       153,    46.206,        97,    19.116,        40,    12.452,        40,   666.458,        42,       625,        28,         0,         0,   715.855,        42,       676,        28,         8,     6.184,        18,     11493,      8432,      6246,      8037,         8,        75
         1,   50.1914,         1,         1,         4,         0,         0,   209.916,       333,   124.018,       223,     8.261,        20,     4.875,        20,   335.238,        23,       316,        12,         0,         0,   290.221,        23,       274,        12,         6,     7.165,        33,     11493,      8432,      6246,      8037,         8,        75
         1,   29.1548,         1,         1,         2,         0,         0,    36.932,        55,    15.739,        35,     4.834,        12,     2.969,        12,   103.711,        13,        94,         4,         0,         0,    134.15,        13,       124,         4,         4,     6.348,        27,     11493,      8432,      6246,      8037,         8,        75
         1,   108.358,         1,         1,         4,         0,         0,   316.619,       408,   310.806,       339,    15.826,        26,     11.09,        26,   376.034,        28,       344,        15,         0,         0,   372.281,        28,       337,        15,         9,    20.588,        63,     11493,      8432,      6246,      8037,         8,        75
         1,   69.2421,         1,         1,         4,         0,         0,   289.161,       439,   106.568,       209,    45.145,        45,     21.66,        45,   750.271,        48,       699,        33,         0,         0,   810.091,        48,       758,        33,        10,    24.884,       103,     11493,      8432,      6246,      8037,         8,        75
         1,   33.1059,         1,         1,         2,         0,         0,   355.881,       370,    93.083,       183,     3.901,        13,     1.782,        13,   128.836,        16,       119,         6,         0,         0,   150.386,        16,       139,         6,         4,     8.537,        43,     11493,      8432,      6246,      8037,         8,        75
         1,   153.197,         2,         2,         7,         0,         0,   879.688,      1241,   913.174,      1129,   809.927,       887,   703.774,       887,   3068.85,       142,      2822,       113,         0,         0,   2701.16,       142,      2504,       113,        21,    17.377,        31,     11493,      8432,      6246,      8037,         8,        75
         1,   66.8852,         1,         1,         7,         0,         0,   235.608,       234,   141.743,       212,    80.743,        96,    52.581,        96,   1707.56,        96,      1556,        71,         0,         0,   1938.32,        96,      1802,        71,        13,    11.432,        38,     11493,      8432,      6246,      8037,         8,        75
         1,   126.178,         1,         1,        11,         0,         0,   401.402,       547,   227.183,       370,   122.676,       274,    139.13,       274,   2752.41,       150,      2559,       119,         0,         0,   2881.55,       150,      2676,       119,        23,     3.844,        16,     11493,      8432,      6246,      8037,         8,        75
         1,   77.2594,         1,         1,         6,         0,         0,   463.836,       765,   374.574,       635,    40.504,        85,    31.618,        85,   1293.27,        85,      1205,        58,         0,         0,   1318.28,        85,      1231,        58,        21,     7.231,        40,     11493,      8432,      6246,      8037,         8,        75
         1,   32.6956,         1,         1,         3,         0,         0,   128.611,       229,    50.171,       108,     8.443,        21,     4.765,        21,    272.44,        25,       255,        12,         0,         0,   259.464,        25,       244,        12,         6,    11.764,        52,     11493,      8432,      6246,      8037,         8,        75
         1,   34.0588,         1,         1,         2,         0,         0,   253.703,       426,   108.191,       218,     7.623,        20,     3.067,        20,   223.446,        23,       209,        10,         0,         0,   200.046,        23,       186,        10,         8,    10.374,        43,     11493,      8432,      6246,      8037,         8,        75
         1,   7.07107,         1,         1,         2,         0,         0,      48.4,        88,     4.486,        17,     3.255,         8,     1.098,         8,    75.576,        11,        70,         4,         0,         0,    106.19,        11,       100,         4,         2,     2.758,        19,     11493,      8432,      6246,      8037,         8,        75
         1,    200.41,         1,         1,         7,         0,         0,   822.428,      1216,   720.796,      1077,   120.448,       194,    88.155,       194,   3823.62,       194,      3571,       165,         0,         0,   3867.25,       194,      3603,       165,        17,    23.332,        93,     11493,      8432,      6246,      8037,         8,        75
         1,    72.069,         1,         1,         4,         0,         0,   184.177,       275,   111.117,       205,    18.097,        35,    11.805,        35,   610.069,        38,       575,        25,         0,         0,   591.623,        38,       553,        25,         6,    17.513,        97,     11493,      8432,      6246,      8037,         8,        75
         1,   37.2156,         1,         1,         2,         0,         0,    126.69,       224,     83.98,       143,     4.663,        15,     2.598,        15,   193.916,        18,       183,         7,         0,         0,   224.729,        18,       212,         7,         5,     7.204,        35,     11493,      8432,      6246,      8037,         8,        75
         1,    155.04,         2,         2,         9,         0,         0,   388.625,       561,   214.084,       375,   132.381,       270,    117.79,       270,   2406.44,       140,      2240,       110,         0,         0,   2475.28,       140,      2312,       110,        20,     6.537,        20,     11493,      8432,      6246,      8037,         8,        75
         1,   19.2828,         1,         1,         3,         0,         0,      51.2,       104,    16.468,        54,     4.961,        15,     4.175,        15,   156.099,        19,       146,         8,         0,         0,    141.53,        19,       132,         8,         4,      4.76,        35,     11493,      8432,      6246,      8037,         8,        75
         1,   117.204,         2,         2,         5,         0,         0,    230.06,       557,    145.93,       371,   125.738,       244,   111.287,       244,   2207.38,       137,      2050,       101,         0,         0,   1961.94,       137,      1816,       101,        25,    43.604,       240,     11493,      8432,      6246,      8037,         8,        75
         1,   14.2127,         1,         1,         2,         0,         0,    20.183,        35,     7.059,        18,     3.067,         6,     0.753,         6,    28.247,         7,        25,         1,         0,         0,     26.29,         7,        24,         1,         1,     1.833,        15,     11493,      8432,      6246,      8037,         8,        75
         1,   44.6035,         1,         1,         4,         0,         0,    89.086,       146,    42.713,        90,    13.145,        29,      9.37,        29,    424.55,        31,       396,        18,         0,         0,   485.668,        31,       456,        18,         8,    11.381,        41,     11493,      8432,      6246,      8037,         8,        75
         1,   143.382,         2,         2,         6,         0,         0,   254.468,       562,   208.246,       376,   165.795,       269,   135.155,       269,   2584.61,       141,      2414,       107,         0,         0,   2692.17,       141,      2519,       107,        21,    14.299,        72,     11493,      8432,      6246,      8037,         8,        75
         1,   31.3684,         1,         1,         4,         0,         0,   130.129,       214,    42.295,        96,     5.473,        17,     2.701,        17,   272.625,        19,       258,        10,         0,         0,   180.444,        19,       168,        10,         3,     3.337,        38,     11493,      8432,      6246,      8037,         8,        75
         1,    170.31,         2,         2,         5,         0,         0,   702.665,      1219,   534.852,      1118,   883.814,       951,    692.55,       951,   3371.31,       175,      3078,       137,         0,         0,   3270.82,       175,      2838,       137,        29,    35.403,        64,     11493,      8432,      6246,      8037,         8,        75
