         k,      dist, cost_edbt,  gen_edbt,  cost_ki0,   gen_ki0,   cost_ki,    gen_ki, cost_poly,  gen_poly,  cost_ffp,   gen_ffp,   cost_hi,    gen_hi,     hcost,     hcall,reevaluate,   cost_fi,    gen_fi,  cost_pre,   gen_pre,   edgecnt,  fencecnt,       pts,     polys
         1,   12.6491,         0,         0,   100.586,       117,    15.964,        30,    20.099,         9,     2.125,         9,   365.206,        12,       353,         4,         0,    56.494,       164,   19135.1,      8419,      6246,     15344,        38,        75
         1,    30.632,         0,         0,   117.798,       145,    46.886,        62,    23.827,        27,    13.338,        27,   1731.32,        30,      1700,        19,         0,     1.403,        14,   19135.1,      8419,      6246,     15344,        38,        75
         1,   15.6525,         0,         0,    99.615,       105,    19.489,        33,    11.862,        14,     3.921,        14,   441.919,        15,       432,         5,         0,    19.119,        68,   19135.1,      8419,      6246,     15344,        38,        75
         1,   35.6447,         0,         0,   101.203,       123,     56.21,        82,    23.885,        29,    14.152,        29,   1759.12,        33,      1722,        22,         0,    19.565,        53,   19135.1,      8419,      6246,     15344,        38,        75
         1,   16.6433,         0,         0,    64.769,        70,    33.221,        49,     9.637,         8,      1.73,         8,    283.57,        13,       274,         4,         0,     4.318,        19,   19135.1,      8419,      6246,     15344,        38,        75
         1,   30.2643,         0,         0,    55.413,        73,    37.861,        54,    19.296,        21,    10.428,        21,   1082.49,        23,      1060,        12,         0,     4.762,        19,   19135.1,      8419,      6246,     15344,        38,        75
         1,   3.60555,         0,         0,    32.615,        49,     2.286,         8,     8.391,         5,     0.157,         5,   187.912,         8,       185,         2,         0,     0.569,        20,   19135.1,      8419,      6246,     15344,        38,        75
         1,   29.8329,         0,         0,   514.355,       540,   208.242,       251,    13.924,        15,     5.725,        15,   618.764,        17,       605,         7,         0,    30.262,        88,   19135.1,      8419,      6246,     15344,        38,        75
         1,   11.7047,         0,         0,    78.698,       100,    16.841,        32,    11.277,        10,      3.06,        10,   495.893,        15,       486,         5,         0,     7.282,        23,   19135.1,      8419,      6246,     15344,        38,        75
         1,   37.0139,         0,         0,   364.293,       388,   110.455,       158,     21.77,        27,    13.391,        27,   1025.32,        28,       997,        13,         0,    68.132,       198,   19135.1,      8419,      6246,     15344,        38,        75
