         k,      dist,      rank,      vnum, cost_edbt,  gen_edbt,  cost_ki0,   gen_ki0,   cost_ki,    gen_ki, cost_poly,  gen_poly,  cost_ffp,   gen_ffp,   cost_hi,    gen_hi,     hcost,     hcall,    hreuse,reevaluate,  cost_hi2,   gen_hi2,    hcost2,    hcall2,   hreuse2,   cost_fi,    gen_fi,  cost_pre,   gen_pre,   edgecnt,  fencecnt,       pts,     polys
         1,    178.73,         1,         8,         0,         0,   436.759,       894,   337.208,       741,   1438.43,      2949,   1185.12,      2949,   3642.22,       275,      3274,       219,         0,         0,   3606.35,       275,      3256,       219,        38,    16.477,       130,   5907.51,      8553,      6246,     15828,         6,        75
         1,   184.325,         1,         5,         0,         0,   186.059,       547,   170.915,       501,    38.301,        92,    28.076,        92,   962.005,        94,       867,        62,         0,         0,   966.481,        94,       867,        62,        21,    15.221,       135,   5907.51,      8553,      6246,     15828,         6,        75
         1,   106.326,         1,         7,         0,         0,   455.401,       847,   479.688,       750,   145.786,       364,    134.61,       364,   6911.98,       365,      6299,       301,         0,         0,   5613.82,       365,      5080,       301,        56,    18.049,       134,   5907.51,      8553,      6246,     15828,         6,        75
         1,   77.8542,         1,         6,         0,         0,    343.57,       831,   284.249,       664,    45.237,       130,    36.483,       130,   1849.54,       131,      1689,       104,         0,         0,   1785.16,       131,      1630,       104,        21,    11.856,       119,   5907.51,      8553,      6246,     15828,         6,        75
         1,    100.86,         1,         6,         0,         0,   475.759,       964,   435.027,       831,    11.364,        39,     6.987,        39,    350.06,        39,       316,        20,         0,         0,   343.651,        39,       309,        20,        13,    10.947,        80,   5907.51,      8553,      6246,     15828,         6,        75
         1,   37.8284,         1,         4,         0,         0,   129.917,       310,    74.791,       214,     4.664,        19,     2.066,        19,   128.014,        21,       115,         7,         0,         0,   122.754,        21,       111,         7,         7,     15.44,       135,   5907.51,      8553,      6246,     15828,         6,        75
         1,   188.946,         1,         8,         0,         0,   690.645,      1419,   561.216,      1231,    78.301,       232,    98.412,       232,   3009.02,       232,      2710,       171,         0,         0,   2864.08,       232,      2606,       171,        48,     4.572,        49,   5907.51,      8553,      6246,     15828,         6,        75
         1,   73.4752,         1,         7,         0,         0,   355.541,       891,   229.958,       578,    19.846,        63,    13.956,        63,   724.036,        64,       656,        46,         0,         0,   713.204,        64,       647,        46,        12,      3.98,        30,   5907.51,      8553,      6246,     15828,         6,        75
         1,   119.173,         1,         6,         0,         0,   392.859,       993,   387.334,       911,     18.26,        60,    12.447,        60,   633.408,        60,       574,        39,         0,         0,   684.815,        60,       625,        39,        16,     5.696,        31,   5907.51,      8553,      6246,     15828,         6,        75
         1,   91.0876,         1,         3,         0,         0,   159.232,       376,    94.298,       283,     8.411,        41,     5.653,        41,   314.229,        43,       279,        23,         0,         0,   343.674,        43,       310,        23,        14,    26.381,       209,   5907.51,      8553,      6246,     15828,         6,        75
