K,order,dist,cost_ki,cost_edbt,vnum,density
4,1,405.094,16.13,104808,2,1.08025
4,2,1153.99,16.13,104808,2,1.08025
4,3,1346.72,16.13,104808,3,1.08025
4,4,1710.68,16.13,104808,4,1.08025
4,1,1994.43,23.717,125374,3,1.08025
4,2,2418.28,23.717,125374,3,1.08025
4,3,2486.92,23.717,125374,3,1.08025
4,4,2590.02,23.717,125374,3,1.08025
4,1,888.016,29.117,164157,2,1.08025
4,2,1094.57,29.117,164157,2,1.08025
4,3,1390.89,29.117,164157,2,1.08025
4,4,2438.66,29.117,164157,4,1.08025
4,1,1057.58,37.763,105027,2,1.08025
4,2,1183.09,37.763,105027,3,1.08025
4,3,2506.82,37.763,105027,3,1.08025
4,4,3277.95,37.763,105027,4,1.08025
4,1,510.203,51.978,106077,3,1.08025
4,2,833.271,51.978,106077,3,1.08025
4,3,1254.64,51.978,106077,2,1.08025
4,4,3410.4,51.978,106077,5,1.08025
4,1,365.891,30.704,416048,2,1.08025
4,2,863.294,30.704,416048,2,1.08025
4,3,1638.8,30.704,416048,2,1.08025
4,4,1898.3,30.704,416048,3,1.08025
4,1,249.465,16.353,112583,2,1.08025
4,2,1688.89,16.353,112583,3,1.08025
4,3,1882.3,16.353,112583,3,1.08025
4,4,2057,16.353,112583,3,1.08025
4,1,489.336,14.847,116186,2,1.08025
4,2,1261.15,14.847,116186,2,1.08025
4,3,1596.74,14.847,116186,2,1.08025
4,4,2053.41,14.847,116186,2,1.08025
4,1,466.807,17.086,76251,2,1.08025
4,2,1081.67,17.086,76251,2,1.08025
4,3,1510.67,17.086,76251,3,1.08025
4,4,2009.13,17.086,76251,3,1.08025
4,1,1300.45,23.001,211275,2,1.08025
4,2,1899.18,23.001,211275,2,1.08025
4,3,2118.14,23.001,211275,2,1.08025
4,4,2537.2,23.001,211275,3,1.08025
4,1,747.754,27.348,148279,2,1.08025
4,2,1433.87,27.348,148279,2,1.08025
4,3,2026.63,27.348,148279,3,1.08025
4,4,2534.93,27.348,148279,4,1.08025
4,1,1145.45,45.844,168714,2,1.08025
4,2,1261.49,45.844,168714,2,1.08025
4,3,2844.57,45.844,168714,3,1.08025
4,4,2962.33,45.844,168714,3,1.08025
4,1,404.695,10.705,48063.1,2,1.08025
4,2,703.549,10.705,48063.1,2,1.08025
4,3,1004.99,10.705,48063.1,2,1.08025
4,4,1497.59,10.705,48063.1,3,1.08025
4,1,431.449,15.222,148934,2,1.08025
4,2,989.683,15.222,148934,2,1.08025
4,3,1365.01,15.222,148934,2,1.08025
4,4,1688.63,15.222,148934,2,1.08025
4,1,1486.54,21.022,66810.2,2,1.08025
4,2,1638.6,21.022,66810.2,2,1.08025
4,3,1850.28,21.022,66810.2,2,1.08025
4,4,2148.73,21.022,66810.2,3,1.08025
4,1,203.027,8.669,30721.1,2,1.08025
4,2,797.295,8.669,30721.1,2,1.08025
4,3,816.854,8.669,30721.1,2,1.08025
4,4,1060.82,8.669,30721.1,2,1.08025
4,1,1043.87,42.092,338871,2,1.08025
4,2,1926.06,42.092,338871,2,1.08025
4,3,2783.62,42.092,338871,3,1.08025
4,4,2951.54,42.092,338871,3,1.08025
4,1,1159.77,12.038,14315.2,2,1.08025
4,2,1190.55,12.038,14315.2,2,1.08025
4,3,1276.53,12.038,14315.2,2,1.08025
4,4,1457.7,12.038,14315.2,4,1.08025
4,1,808.567,21.092,31431,2,1.08025
4,2,961.216,21.092,31431,2,1.08025
4,3,1065.05,21.092,31431,3,1.08025
4,4,1886.45,21.092,31431,4,1.08025
4,1,805.522,29.489,82433.1,2,1.08025
4,2,1163.73,29.489,82433.1,2,1.08025
4,3,2172.54,29.489,82433.1,4,1.08025
4,4,2449.15,29.489,82433.1,3,1.08025
4,1,1036.94,32.614,126974,3,1.08025
4,2,1787.57,32.614,126974,2,1.08025
4,3,1826.04,32.614,126974,3,1.08025
4,4,2635.69,32.614,126974,2,1.08025
4,1,337.073,46.776,250529,2,1.08025
4,2,1269.98,46.776,250529,2,1.08025
4,3,2414.83,46.776,250529,8,1.08025
4,4,2979.43,46.776,250529,4,1.08025
4,1,1387.66,42.038,137883,5,1.08025
4,2,2320.1,42.038,137883,5,1.08025
4,3,3057.29,42.038,137883,5,1.08025
4,4,3085.15,42.038,137883,3,1.08025
4,1,1829.02,50.379,313345,3,1.08025
4,2,1984.27,50.379,313345,3,1.08025
4,3,3001.36,50.379,313345,6,1.08025
4,4,3027.11,50.379,313345,4,1.08025
4,1,482.105,28.345,85628.7,2,1.08025
4,2,1424.19,28.345,85628.7,3,1.08025
4,3,1959.08,28.345,85628.7,3,1.08025
4,4,2639.66,28.345,85628.7,4,1.08025
4,1,3583.77,68.827,307282,4,1.08025
4,2,3587.98,68.827,307282,3,1.08025
4,3,3711.42,68.827,307282,4,1.08025
4,4,4111.89,68.827,307282,4,1.08025
4,1,983.489,25.982,142605,2,1.08025
4,2,1026.97,25.982,142605,2,1.08025
4,3,1610.91,25.982,142605,4,1.08025
4,4,2196.55,25.982,142605,6,1.08025
4,1,1125.35,38.542,125177,2,1.08025
4,2,1588.01,38.542,125177,3,1.08025
4,3,2267.5,38.542,125177,3,1.08025
4,4,2890.02,38.542,125177,4,1.08025
4,1,1658.46,9.734,29182.6,2,1.08025
4,2,2252.36,9.734,29182.6,2,1.08025
4,3,2334.34,9.734,29182.6,2,1.08025
4,4,2348.06,9.734,29182.6,2,1.08025
4,1,1870.91,59.622,268097,4,1.08025
4,2,2147.16,59.622,268097,3,1.08025
4,3,2645.32,59.622,268097,4,1.08025
4,4,3107.72,59.622,268097,3,1.08025
4,1,235.478,13.852,175751,2,1.08025
4,2,350.366,13.852,175751,2,1.08025
4,3,824.335,13.852,175751,2,1.08025
4,4,1544.02,13.852,175751,2,1.08025
4,1,2183.4,23.129,80866.5,3,1.08025
4,2,2210.59,23.129,80866.5,2,1.08025
4,3,2219.16,23.129,80866.5,4,1.08025
4,4,2557.26,23.129,80866.5,3,1.08025
4,1,606.97,12.954,62004.8,2,1.08025
4,2,1202.69,12.954,62004.8,4,1.08025
4,3,1355.21,12.954,62004.8,2,1.08025
4,4,1373.53,12.954,62004.8,2,1.08025
4,1,183.848,30.93,125814,2,1.08025
4,2,2424.5,30.93,125814,3,1.08025
4,3,2644.03,30.93,125814,3,1.08025
4,4,2770.23,30.93,125814,6,1.08025
4,1,859.916,12.771,74594.3,2,1.08025
4,2,969.355,12.771,74594.3,2,1.08025
4,3,1290.4,12.771,74594.3,2,1.08025
4,4,1594.17,12.771,74594.3,3,1.08025
4,1,95.8019,34.057,99246.4,2,1.08025
4,2,1220.04,34.057,99246.4,2,1.08025
4,3,1333.06,34.057,99246.4,3,1.08025
4,4,2322.04,34.057,99246.4,3,1.08025
4,1,627.376,6.983,30658.6,2,1.08025
4,2,1194.46,6.983,30658.6,2,1.08025
4,3,1312.82,6.983,30658.6,3,1.08025
4,4,1380.34,6.983,30658.6,2,1.08025
4,1,1692.54,48.962,808176,2,1.08025
4,2,2129.66,48.962,808176,4,1.08025
4,3,2670.68,48.962,808176,5,1.08025
4,4,2841.51,48.962,808176,4,1.08025
4,1,1957.3,41.163,258820,3,1.08025
4,2,2632.66,41.163,258820,5,1.08025
4,3,2772.54,41.163,258820,3,1.08025
4,4,2981.02,41.163,258820,3,1.08025
4,1,1853.42,31.318,222157,2,1.08025
4,2,2332.28,31.318,222157,4,1.08025
4,3,2372.39,31.318,222157,3,1.08025
4,4,3410.38,31.318,222157,4,1.08025
4,1,234.828,10.34,45549.8,2,1.08025
4,2,1255.52,10.34,45549.8,2,1.08025
4,3,1558.73,10.34,45549.8,3,1.08025
4,4,1684.57,10.34,45549.8,3,1.08025
4,1,2090.23,42.876,141807,3,1.08025
4,2,2661.95,42.876,141807,4,1.08025
4,3,2904.38,42.876,141807,3,1.08025
4,4,2997.58,42.876,141807,2,1.08025
4,1,683.323,32.144,160661,2,1.08025
4,2,1424.16,32.144,160661,2,1.08025
4,3,1497.06,32.144,160661,3,1.08025
4,4,3032.93,32.144,160661,3,1.08025
4,1,1448.97,22.963,129097,2,1.08025
4,2,1897.73,22.963,129097,2,1.08025
4,3,2240.41,22.963,129097,2,1.08025
4,4,2331.4,22.963,129097,4,1.08025
4,1,2463.87,35.124,181781,2,1.08025
4,2,2763.29,35.124,181781,2,1.08025
4,3,2851.52,35.124,181781,2,1.08025
4,4,2980.75,35.124,181781,4,1.08025
4,1,1055,34.377,57453.4,2,1.08025
4,2,1907.67,34.377,57453.4,4,1.08025
4,3,2591.19,34.377,57453.4,4,1.08025
4,4,2776.99,34.377,57453.4,4,1.08025
4,1,1562.87,18.599,141337,2,1.08025
4,2,1569.78,18.599,141337,2,1.08025
4,3,1965.21,18.599,141337,2,1.08025
4,4,2084.92,18.599,141337,4,1.08025
4,1,1426.67,24.951,178880,2,1.08025
4,2,1875.05,24.951,178880,3,1.08025
4,3,2150.64,24.951,178880,3,1.08025
4,4,2325.99,24.951,178880,3,1.08025
4,1,173.442,25.732,140281,2,1.08025
4,2,679.108,25.732,140281,2,1.08025
4,3,2860.97,25.732,140281,3,1.08025
4,4,2870.38,25.732,140281,3,1.08025
4,1,1940.17,36.75,684159,4,1.08025
4,2,2037.85,36.75,684159,2,1.08025
4,3,2054.88,36.75,684159,2,1.08025
4,4,2446.59,36.75,684159,3,1.08025
4,1,610.257,50.832,424370,2,1.08025
4,2,1324.39,50.832,424370,2,1.08025
4,3,2772.71,50.832,424370,4,1.08025
4,4,3628.91,50.832,424370,3,1.08025
4,1,1432.83,40.696,139016,3,1.08025
4,2,2859.05,40.696,139016,4,1.08025
4,3,3144.73,40.696,139016,2,1.08025
4,4,3264.07,40.696,139016,5,1.08025
4,1,1904.07,29.641,60663.7,4,1.08025
4,2,2226.87,29.641,60663.7,3,1.08025
4,3,2747.55,29.641,60663.7,4,1.08025
4,4,2758.07,29.641,60663.7,3,1.08025
4,1,419.649,40.6,185549,2,1.08025
4,2,2126.43,40.6,185549,5,1.08025
4,3,2690.2,40.6,185549,2,1.08025
4,4,3078.79,40.6,185549,2,1.08025
4,1,529.31,97.839,1.58235e+06,2,1.08025
4,2,1529.25,97.839,1.58235e+06,4,1.08025
4,3,2292.51,97.839,1.58235e+06,3,1.08025
4,4,3613.4,97.839,1.58235e+06,3,1.08025
4,1,539.231,9.398,81765.5,2,1.08025
4,2,570.362,9.398,81765.5,2,1.08025
4,3,952.565,9.398,81765.5,2,1.08025
4,4,1437.67,9.398,81765.5,2,1.08025
4,1,764.236,40.011,183268,2,1.08025
4,2,1664.19,40.011,183268,3,1.08025
4,3,2629.5,40.011,183268,4,1.08025
4,4,2766.46,40.011,183268,3,1.08025
4,1,1703.14,26.031,114914,4,1.08025
4,2,1737.46,26.031,114914,2,1.08025
4,3,1929.01,26.031,114914,2,1.08025
4,4,2299.86,26.031,114914,3,1.08025
4,1,1559.95,31.51,162101,3,1.08025
4,2,2148.11,31.51,162101,3,1.08025
4,3,2203.69,31.51,162101,3,1.08025
4,4,2428.09,31.51,162101,3,1.08025
4,1,810.177,17.796,265869,2,1.08025
4,2,1096.18,17.796,265869,3,1.08025
4,3,1296.61,17.796,265869,2,1.08025
4,4,1481.77,17.796,265869,2,1.08025
4,1,1358.68,52.082,250818,2,1.08025
4,2,1655.01,52.082,250818,2,1.08025
4,3,3187,52.082,250818,7,1.08025
4,4,3522.54,52.082,250818,4,1.08025
4,1,1115.78,34.182,192600,2,1.08025
4,2,2130.6,34.182,192600,3,1.08025
4,3,2424.12,34.182,192600,3,1.08025
4,4,2759.92,34.182,192600,3,1.08025
4,1,1128.21,36.851,156859,2,1.08025
4,2,1376.2,36.851,156859,3,1.08025
4,3,1892.89,36.851,156859,2,1.08025
4,4,2684.8,36.851,156859,4,1.08025
4,1,2535.86,54.432,485827,4,1.08025
4,2,3064.02,54.432,485827,5,1.08025
4,3,3248.83,54.432,485827,6,1.08025
4,4,3411.41,54.432,485827,3,1.08025
4,1,1803.69,91.15,1.15215e+06,2,1.08025
4,2,2413.26,91.15,1.15215e+06,4,1.08025
4,3,4015.89,91.15,1.15215e+06,7,1.08025
4,4,4173.97,91.15,1.15215e+06,6,1.08025
4,1,1603.98,16.75,96307.3,2,1.08025
4,2,1783.61,16.75,96307.3,2,1.08025
4,3,1971.68,16.75,96307.3,4,1.08025
4,4,1993.86,16.75,96307.3,2,1.08025
4,1,728.669,31.055,109424,3,1.08025
4,2,1130.38,31.055,109424,3,1.08025
4,3,1938.67,31.055,109424,2,1.08025
4,4,2692.83,31.055,109424,5,1.08025
4,1,319.39,19.03,306646,2,1.08025
4,2,1279.24,19.03,306646,2,1.08025
4,3,1411.86,19.03,306646,2,1.08025
4,4,1593.09,19.03,306646,2,1.08025
4,1,1459.3,55.708,238443,3,1.08025
4,2,1559.85,55.708,238443,2,1.08025
4,3,3342.18,55.708,238443,2,1.08025
4,4,3361.53,55.708,238443,3,1.08025
4,1,533.802,15.302,66818.5,2,1.08025
4,2,1246.07,15.302,66818.5,2,1.08025
4,3,1521.61,15.302,66818.5,2,1.08025
4,4,1912.93,15.302,66818.5,3,1.08025
4,1,816.838,12.152,108661,2,1.08025
4,2,1032.35,12.152,108661,2,1.08025
4,3,1086.54,12.152,108661,3,1.08025
4,4,1612.34,12.152,108661,3,1.08025
4,1,1808.91,24.808,247719,2,1.08025
4,2,2183.12,24.808,247719,2,1.08025
