k,dist,cost_ki0,cost_ki,cost_hi,cost_edbt,gen_ki0,gen_ki,gen_hi,gen_edbt,pts,polys
3,597.127,291.652,7.716,2199.02,12773.7,632,25,16,93,9000,8385
3,714.477,117.702,24.851,6022.76,35214.6,264,50,25,210,9000,8385
3,1067.41,556.912,22.462,8406.92,121004,1560,70,24,399,9000,8385
3,1169.17,555.816,26.04,12304.5,121421,1680,54,28,595,9000,8385
3,908.971,539.036,16.486,5445.28,56576.9,1603,44,21,204,9000,8385
3,1121.16,590.832,50.456,17343.1,183394,1724,104,27,624,9000,8385
3,773.466,254.078,18.14,9610.64,65720.9,746,43,19,136,9000,8385
3,1241.86,790.466,27.33,13912.9,157191,2517,80,30,583,9000,8385
3,1245.81,1062.53,25.576,8818.14,104636,2728,73,27,533,9000,8385
3,609.59,327.128,14.14,5677.89,35499.7,795,38,15,120,9000,8385
3,1280.88,948.46,42.33,10841,178695,2325,121,37,1056,9000,8385
3,1237.86,863.798,49.755,14237,153750,2339,119,58,907,9000,8385
3,879.755,370.394,17.259,4738.05,62825.8,1197,59,15,214,9000,8385
3,1753.49,1388.16,82.023,31503,160939,4016,172,63,1324,9000,8385
3,760.053,318.699,10.238,3067.06,38625.3,1092,33,14,113,9000,8385
3,516.624,35.79,7.612,2631.84,17992.7,94,23,13,45,9000,8385
3,533.326,254.419,13.096,2014.67,33829.1,720,40,22,133,9000,8385
3,781.716,263.339,19.338,6891.52,424209,685,46,23,700,9000,8385
3,1503.92,1122.15,59.867,15085.8,184117,3549,157,42,1570,9000,8385
3,1114.27,274.359,20.088,5831.98,64339.6,865,65,30,221,9000,8385
3,1457.84,971.484,44.125,16673.8,87317.8,3111,135,31,726,9000,8385
3,1205.29,786.273,27.638,6115.29,75383.7,2173,81,22,290,9000,8385
3,888.874,161.736,26.16,8185.73,174332,400,66,27,557,9000,8385
3,1490.86,826.269,18.348,17906.3,53317.3,2510,53,24,305,9000,8385
3,1279.57,786.713,31.106,16810.6,128459,2333,86,39,664,9000,8385
3,1306.35,486.874,24.498,10219.6,361275,1505,76,17,627,9000,8385
3,1253.86,919.114,42.168,12754.9,128649,2535,110,35,800,9000,8385
3,1737.34,1296.94,51.374,15544.1,569889,3866,120,25,952,9000,8385
3,873.202,499.757,17.091,10913.1,359238,1407,46,24,669,9000,8385
3,996.476,568.338,24.282,12930.5,134721,1799,71,22,616,9000,8385
