         k,      dist,      rank,  max_rank,      vnum, cost_edbt,  gen_edbt,  cost_ki0,   gen_ki0,   cost_ki,    gen_ki, cost_poly,  gen_poly,  cost_ffp,   gen_ffp,   cost_hi,    gen_hi,     hcost,     hcall,    hreuse,reevaluate,  cost_hi2,   gen_hi2,    hcost2,    hcall2,   hreuse2,   cost_fi,    gen_fi,  cost_pre,   gen_pre,   edgecnt,  fencecnt,    keycnt,      miss,false_retrieval,       pts,     polys
         9,   1948.96,         9,         9,        30,    285198,      2868,   1544.92,      4470,    125.69,       232,   844.311,       152,    16.267,       152,     49658,        84,     49570,        66,        10,        24,         0,         0,         0,         0,         0,   125.539,       135,    566353,    399934,    188905,    310458,    134320,         0,         0,      9000,      8385
         9,   1922.88,         8,         9,        40,1.03572e+06,      6951,   1569.54,      4783,   125.061,       352,   588.069,       236,    29.965,       236,   91449.1,        99,     91339,       108,        13,        47,         0,         0,         0,         0,         0,     170.7,       227,    566353,    399934,    188905,    310458,    134320,         0,         0,      9000,      8385
         9,   1987.26,        10,        10,        33,    405135,      2013,   1497.13,      4867,    68.635,       222,   645.247,       188,    23.144,       188,   62092.9,        82,     62000,        75,        14,        38,         0,         0,         0,         0,         0,    98.474,       148,    566353,    399934,    188905,    310458,    134320,         0,         0,      9000,      8385
         9,   2226.52,        10,        10,        37,    857368,      4045,   1895.02,      5465,    80.931,       279,    658.67,       309,    42.497,       309,   77591.9,        95,     77508,        76,        13,        28,         0,         0,         0,         0,         0,   133.999,       160,    566353,    399934,    188905,    310458,    134320,         0,         0,      9000,      8385
         9,   1586.93,        10,        10,        26,    340069,      1969,    959.83,      2698,    48.609,       146,   643.039,       143,    12.208,       143,   23474.8,        51,     23440,        32,         2,        12,         0,         0,         0,         0,         0,    43.945,        68,    566353,    399934,    188905,    310458,    134320,         0,         0,      9000,      8385
         9,   1699.95,         8,        10,        30,    379371,      3127,   1464.87,      4518,    66.685,       224,    578.28,       177,    19.897,       177,   35633.1,        82,     35561,        60,        13,        19,         0,         0,         0,         0,         0,    68.726,       103,    566353,    399934,    188905,    310458,    134320,         0,         0,      9000,      8385
         9,   1589.86,         7,         9,        24,    159456,      1470,   805.104,      2454,    40.889,       113,   568.258,       154,    12.801,       154,   19118.2,        57,     19073,        41,         5,        14,         0,         0,         0,         0,         0,    50.277,        71,    566353,    399934,    188905,    310458,    134320,         0,         0,      9000,      8385
         9,   1536.82,        10,        10,        27,    249633,      1075,   1068.89,      2783,    41.402,       120,   569.155,       105,     8.448,       105,     36298,        57,     36256,        39,         9,        15,         0,         0,         0,         0,         0,    63.487,        92,    566353,    399934,    188905,    310458,    134320,         0,         0,      9000,      8385
         9,   1666.73,        11,        11,        27,    398088,      2952,    1706.2,      4534,    75.506,       186,   579.122,       193,    20.534,       193,   27351.5,        78,     27291,        57,        12,        18,         0,         0,         0,         0,         0,    91.605,       107,    566353,    399934,    188905,    310458,    134320,         0,         0,      9000,      8385
         9,    1720.8,        10,        10,        27,1.21085e+06,      5350,   1311.29,      3836,   122.243,       314,   622.349,       335,    51.475,       335,   28487.3,       143,     28368,       124,        27,        44,         0,         0,         0,         0,         0,   184.182,       226,    566353,    399934,    188905,    310458,    134320,         0,         0,      9000,      8385
         9,   2069.78,         8,        10,        38,    398772,      2721,   1280.78,      4001,     60.41,       180,    589.42,       224,    25.773,       224,   26484.3,       105,     26403,        82,        14,        22,         0,         0,         0,         0,         0,     79.86,       122,    566353,    399934,    188905,    310458,    134320,         0,         0,      9000,      8385
         9,   1499.32,        10,        10,        25,    514032,      2403,   665.573,      1919,    45.822,       122,   574.055,       129,    14.247,       129,   30707.8,        59,     30659,        51,         8,        23,         0,         0,         0,         0,         0,    68.701,        79,    566353,    399934,    188905,    310458,    134320,         0,         0,      9000,      8385
         9,   1658.44,        10,        10,        34,    350707,      2046,   896.722,      2543,    51.713,       161,   577.781,       162,    17.602,       162,   24586.3,        72,     24533,        47,        11,        16,         0,         0,         0,         0,         0,    70.003,       101,    566353,    399934,    188905,    310458,    134320,         0,         0,      9000,      8385
         9,   2512.06,        10,        10,        33,    609420,      4706,   1832.23,      5951,   112.448,       338,   663.575,       279,    33.356,       279,   50091.9,       108,     49992,        99,        10,        37,         0,         0,         0,         0,         0,   105.113,       146,    566353,    399934,    188905,    310458,    134320,         0,         0,      9000,      8385
         9,   1880.02,         9,         9,        33,    389615,      2323,   1764.54,      6279,    88.044,       229,    568.17,       139,    13.658,       139,   36591.7,        94,     36516,        75,        11,        27,         0,         0,         0,         0,         0,   107.716,       141,    566353,    399934,    188905,    310458,    134320,         0,         0,      9000,      8385
         9,   2106.13,         7,         9,        42,1.42398e+06,      6064,   1761.66,      5195,   121.887,       312,   620.313,       344,    47.166,       344,    109322,       146,    109178,       136,        25,        49,         0,         0,         0,         0,         0,   162.818,       208,    566353,    399934,    188905,    310458,    134320,         0,         0,      9000,      8385
         9,   2481.16,         9,         9,        27,1.10098e+06,      5923,   2173.24,      6800,   129.677,       334,   605.107,       202,    29.903,       202,   52466.8,        90,     52383,        87,         8,        29,         0,         0,         0,         0,         0,   113.419,       144,    566353,    399934,    188905,    310458,    134320,         0,         0,      9000,      8385
         9,   1769.13,         9,         9,        31,    465963,      2564,   1250.77,      4031,      77.8,       186,   574.349,       165,     21.75,       165,   70902.6,        94,     70824,        73,        13,        18,         0,         0,         0,         0,         0,    96.189,       124,    566353,    399934,    188905,    310458,    134320,         0,         0,      9000,      8385
         9,    1931.3,         9,         9,        26,    377586,      1814,   1199.65,      3928,    64.154,       221,     564.6,       118,    12.269,       118,   49562.6,        67,     49499,        60,         8,        25,         0,         0,         0,         0,         0,    80.615,       125,    566353,    399934,    188905,    310458,    134320,         0,         0,      9000,      8385
         9,    1955.1,         9,         9,        32,    761176,      4532,   1088.65,      3243,   120.591,       287,   586.147,       222,    31.014,       222,   84701.1,       108,     84596,        91,        20,        32,         0,         0,         0,         0,         0,   141.778,       155,    566353,    399934,    188905,    310458,    134320,         0,         0,      9000,      8385
         9,   2368.96,        11,        11,        30,1.59091e+06,      7354,   1932.51,      6963,   154.315,       399,   597.305,       306,    44.546,       306,   98653.3,       104,     98546,       110,        16,        45,         0,         0,         0,         0,         0,   129.256,       179,    566353,    399934,    188905,    310458,    134320,         0,         0,      9000,      8385
         9,   1699.93,        10,        10,        23,    419701,      1695,   1338.48,      3914,    49.001,       149,   571.573,       106,    11.203,       106,   40075.6,        58,     40032,        44,         8,        18,         0,         0,         0,         0,         0,    61.606,        84,    566353,    399934,    188905,    310458,    134320,         0,         0,      9000,      8385
         9,   1767.53,         7,         9,        33,    206881,      2114,   1288.69,      4154,    58.137,       212,   567.682,       175,    20.548,       175,   68786.3,       101,     68703,        80,        17,        29,         0,         0,         0,         0,         0,    92.124,       135,    566353,    399934,    188905,    310458,    134320,         0,         0,      9000,      8385
         9,   1808.66,         8,        11,        32,    515831,      2647,   1224.91,      4008,    61.202,       199,   626.708,       215,    26.936,       215,   38157.2,        89,     38084,        77,         7,        27,         0,         0,         0,         0,         0,   255.715,       131,    566353,    399934,    188905,    310458,    134320,         0,         0,      9000,      8385
         9,   2275.23,         8,         9,        29,    480226,      2526,   2010.02,      6144,   108.699,       324,   573.501,       154,    16.679,       154,     28879,        73,     28796,        67,        10,        28,         0,         0,         0,         0,         0,   119.289,       165,    566353,    399934,    188905,    310458,    134320,         0,         0,      9000,      8385
         9,   2253.32,         8,        10,        33,1.31051e+06,      6102,   2050.24,      6208,   125.746,       369,   587.312,       277,     38.29,       277,     57484,       109,     57368,       106,        22,        50,         0,         0,         0,         0,         0,    147.47,       177,    566353,    399934,    188905,    310458,    134320,         0,         0,      9000,      8385
         9,    1672.6,         6,         9,        29,    784948,      2737,   1148.25,      3746,    72.929,       193,   633.608,       196,    27.244,       196,   63047.7,        74,     62980,        64,         7,        27,         0,         0,         0,         0,         0,    87.157,       132,    566353,    399934,    188905,    310458,    134320,         0,         0,      9000,      8385
         9,   2101.28,         9,         9,        27,    777235,      5169,   1210.25,      4056,    84.777,       288,   602.554,       260,    35.681,       260,   82120.4,        92,     82037,        73,        17,        27,         0,         0,         0,         0,         0,    83.645,       139,    566353,    399934,    188905,    310458,    134320,         0,         0,      9000,      8385
         9,   1878.83,         9,         9,        29,    239018,      2587,   1635.36,      4689,    83.282,       267,   584.342,       128,    15.446,       128,   24959.6,        89,     24888,        73,        15,        30,         0,         0,         0,         0,         0,   115.366,       173,    566353,    399934,    188905,    310458,    134320,         0,         0,      9000,      8385
         9,   2229.53,         8,         9,        46,    503258,      5530,   1905.36,      6674,    96.882,       313,    650.09,       332,    39.155,       332,   13595.9,       145,     13489,       120,        18,        33,         0,         0,         0,         0,         0,   133.801,       181,    566353,    399934,    188905,    310458,    134320,         0,         0,      9000,      8385
         9,   1192.28,         9,        10,        24,    119370,       651,   873.541,      2414,     33.17,        90,   554.148,       103,     8.854,       103,   16254.6,        45,     16223,        29,         3,        13,         0,         0,         0,         0,         0,    35.025,        56,    566353,    399934,    188905,    310458,    134320,         0,         0,      9000,      8385
         9,   2164.49,         9,         9,        24,    396723,      2047,   1442.29,      4159,     80.93,       225,   607.262,        96,     9.275,        96,   22938.7,        74,     22883,        57,        14,        21,         0,         0,         0,         0,         0,    86.292,       120,    566353,    399934,    188905,    310458,    134320,         0,         0,      9000,      8385
