K,dist,cost_ki,cost_hi,h_cost,vnum,gen_ki,push_ki,pop_ki,prune_ki,suc_call_ki,gen_hi,push_hi,pop_hi,prune_hi,suc_call_hi,reevaluate,density
9,16625.7,243306,290051,236189,18,4479,256256,246700,26374,1544212,1123,48534,42208,1340,152115,8739,0.00188715
9,18483.4,243306,290051,236189,10,4479,256256,246700,26374,1544212,1123,48534,42208,1340,152115,8739,0.00188715
9,23411.6,243306,290051,236189,13,4479,256256,246700,26374,1544212,1123,48534,42208,1340,152115,8739,0.00188715
9,41359.1,243306,290051,236189,39,4479,256256,246700,26374,1544212,1123,48534,42208,1340,152115,8739,0.00188715
9,42244.1,243306,290051,236189,36,4479,256256,246700,26374,1544212,1123,48534,42208,1340,152115,8739,0.00188715
9,57974.3,243306,290051,236189,58,4479,256256,246700,26374,1544212,1123,48534,42208,1340,152115,8739,0.00188715
9,63318.5,243306,290051,236189,50,4479,256256,246700,26374,1544212,1123,48534,42208,1340,152115,8739,0.00188715
9,77594.2,243306,290051,236189,83,4479,256256,246700,26374,1544212,1123,48534,42208,1340,152115,8739,0.00188715
9,78895.9,243306,290051,236189,35,4479,256256,246700,26374,1544212,1123,48534,42208,1340,152115,8739,0.00188715
9,14106.3,152260,220399,187638,16,3711,187200,178293,20082,1050908,814,33932,29277,873,92599,7367,0.00188715
9,27250.6,152260,220399,187638,17,3711,187200,178293,20082,1050908,814,33932,29277,873,92599,7367,0.00188715
9,30186.8,152260,220399,187638,21,3711,187200,178293,20082,1050908,814,33932,29277,873,92599,7367,0.00188715
9,31181.3,152260,220399,187638,34,3711,187200,178293,20082,1050908,814,33932,29277,873,92599,7367,0.00188715
9,32968.9,152260,220399,187638,25,3711,187200,178293,20082,1050908,814,33932,29277,873,92599,7367,0.00188715
9,42470.8,152260,220399,187638,3,3711,187200,178293,20082,1050908,814,33932,29277,873,92599,7367,0.00188715
9,58279.9,152260,220399,187638,47,3711,187200,178293,20082,1050908,814,33932,29277,873,92599,7367,0.00188715
9,60018.9,152260,220399,187638,45,3711,187200,178293,20082,1050908,814,33932,29277,873,92599,7367,0.00188715
9,63987.8,152260,220399,187638,43,3711,187200,178293,20082,1050908,814,33932,29277,873,92599,7367,0.00188715
9,11942.2,120402,129679,109796,8,3342,157012,147159,16541,782675,598,21350,17648,492,56874,3424,0.00188715
9,14613,120402,129679,109796,14,3342,157012,147159,16541,782675,598,21350,17648,492,56874,3424,0.00188715
9,17646.2,120402,129679,109796,5,3342,157012,147159,16541,782675,598,21350,17648,492,56874,3424,0.00188715
