k,order,dist,cost_polyanya,cost_ki,cost_hi,cost_hi2,h_cost,h_cost2,vnum,gen_poly,push_poly,gen_ki,push_ki,prune_ki,gen_hi,push_hi,prune_hi,hcall,reevaluate,gen_hi2,push_hi2,prune_hi2,hcall2,reevaluate2,precost,gen_pre,edgecnt,damcnt,pts,polys
1,1,10547.3,20345.7,2141.61,741.92,373.756,652,282,5,43450,42179,4845,4716,298,111,106,0,83,0,111,106,0,38,0,278934,317068,133402,290906,6,5862
1,1,12267,9784.54,4279.52,4482.84,1921.57,3960,1463,29,25653,24850,9212,8978,581,590,569,7,500,0,590,569,7,174,0,278934,317068,133402,290906,6,5862
1,1,50032.2,39422.8,74738,71330.4,19932.7,61446,13476,28,85054,82807,109279,107292,11555,8581,8350,245,7354,0,7155,6961,199,1636,0,278934,317068,133402,290906,6,5862
1,1,10622.4,23317,2467.31,2544.64,962.052,2349,774,11,47882,46498,5699,5541,342,189,186,0,149,0,189,186,0,43,0,278934,317068,133402,290906,6,5862
1,1,12298.5,7261.58,3202,2193.57,617.716,1943,432,15,21076,20366,8388,8146,588,304,294,0,250,0,304,294,0,55,0,278934,317068,133402,290906,6,5862
1,1,17314.1,4412.06,8309.9,1893.49,646.042,1673,469,16,13192,12737,19817,19308,1631,285,271,0,218,0,285,271,0,52,0,278934,317068,133402,290906,6,5862
1,1,10240.8,11510.9,2167.8,1299.67,447.439,1159,331,14,30480,29448,5826,5640,401,191,185,0,147,0,191,185,0,44,0,278934,317068,133402,290906,6,5862
1,1,11242,6224.64,2831.78,2268.93,569.164,2020,388,11,17404,16825,7480,7290,489,317,310,3,255,0,317,310,3,52,0,278934,317068,133402,290906,6,5862
1,1,29047.5,16938.3,17330.8,12834.1,4326.24,11099,3142,15,42840,41558,36017,35218,3535,1695,1644,29,1433,0,1695,1644,29,403,0,278934,317068,133402,290906,6,5862
1,1,30414,17625.2,36063.9,14970.9,4457.06,13081,3138,21,45338,43917,65891,64498,6402,1916,1857,38,1618,0,1916,1857,38,402,0,278934,317068,133402,290906,6,5862
1,1,15096,11078.5,5464.99,3943.99,1237.6,3500,865,15,28142,27253,14130,13753,1019,527,510,6,439,0,527,510,6,107,0,278934,317068,133402,290906,6,5862
1,1,18716.6,28395.9,8588.54,1123.21,580.19,992,447,3,65684,63756,17871,17429,1629,180,171,0,129,0,180,171,0,39,0,278934,317068,133402,290906,6,5862
1,1,49047,27864.2,74668,54565.8,17553.4,47442,12174,29,67335,65433,114054,111957,11707,6718,6524,135,5776,0,6718,6524,135,1518,0,278934,317068,133402,290906,6,5862
1,1,43037.9,21723.2,70710.5,69065.8,22446.6,60455,15651,49,51798,50210,114630,112394,11836,8747,8452,258,7444,0,9020,8714,307,1879,0,278934,317068,133402,290906,6,5862
1,1,28882.7,20343.6,21063.2,38765.2,13043.5,33769,9241,36,47254,45858,42225,41300,4150,4954,4790,98,4241,0,4950,4787,97,1165,0,278934,317068,133402,290906,6,5862
1,1,45927.7,69940.8,32189,31656.3,10486.9,27572,7443,17,130483,127181,54924,53940,6082,4100,3975,65,3469,0,4100,3975,65,876,0,278934,317068,133402,290906,6,5862
1,1,44037.6,35399,50279.7,31173.6,12951.2,27169,9278,38,76540,74504,84037,82416,8846,4094,3964,77,3427,0,5455,5273,141,1181,0,278934,317068,133402,290906,6,5862
1,1,6595.08,14647.9,850.614,390.479,230.568,347,183,4,34836,33791,2227,2175,95,61,59,0,43,0,61,59,0,22,0,278934,317068,133402,290906,6,5862
1,1,18548,26946.3,9189.18,3549.74,1309.34,3134,987,8,60655,58962,20468,20032,1613,496,482,3,405,0,496,482,3,127,0,278934,317068,133402,290906,6,5862
1,1,12550.3,4470.71,3505.31,1648.12,588.791,1462,435,21,13579,13127,9242,8986,584,235,228,1,186,0,235,228,1,54,0,278934,317068,133402,290906,6,5862
1,1,27072.8,40544.5,10630,7310.22,2505.03,6470,1865,7,88932,86486,22774,22246,2221,987,953,4,835,0,987,953,4,251,0,278934,317068,133402,290906,6,5862
1,1,44737.4,20555.7,75127.2,49556.2,14538.1,43413,10094,52,51582,49992,116396,114139,11838,6154,5951,160,5255,0,6047,5849,158,1253,0,278934,317068,133402,290906,6,5862
1,1,15539,11096.5,6092.17,5896.06,1855.41,5221,1337,22,22408,21684,14834,14436,1141,779,751,13,656,0,779,751,13,166,0,278934,317068,133402,290906,6,5862
1,1,48102.7,50237.9,48939.6,50395,15888.9,44267,11314,32,110684,107645,84481,82920,8498,5908,5725,190,5026,0,5908,5725,190,1313,0,278934,317068,133402,290906,6,5862
1,1,32233.3,23777.8,21087.7,29033.5,8869.09,25346,6171,31,59082,57374,42385,41472,4307,3746,3640,115,3225,0,3746,3640,115,786,0,278934,317068,133402,290906,6,5862
1,1,21596.8,4441.04,15449.3,5101.26,1654.95,4484,1185,29,13777,13332,32902,32115,2943,693,671,13,585,0,693,671,13,150,0,278934,317068,133402,290906,6,5862
1,1,33725.3,42321.9,23712.1,6584.55,2338.78,5775,1723,8,92980,90499,45594,44694,4719,918,885,3,740,0,918,885,3,217,0,278934,317068,133402,290906,6,5862
1,1,34831.2,26726.2,38430,28271.2,7899.83,24710,5717,28,60374,58722,68965,67591,6981,3661,3545,64,3112,0,3160,3052,51,706,0,278934,317068,133402,290906,6,5862
1,1,9763.99,20765,1957.13,1127.87,426.793,995,323,12,46793,45429,5169,5014,253,163,159,0,127,0,163,159,0,41,0,278934,317068,133402,290906,6,5862
1,1,22799.6,19204.3,17884.7,7284.84,2437.76,6385,1788,15,47758,46321,37282,36382,3463,978,937,10,805,0,978,937,10,233,0,278934,317068,133402,290906,6,5862
1,1,26976.8,12668.3,27744.6,14337,4269.85,12572,3037,26,34651,33534,54420,53196,5274,1885,1823,27,1591,0,1885,1823,27,378,0,278934,317068,133402,290906,6,5862
1,1,24715.5,8606.83,16086,2868.71,968.2,2542,699,10,22889,22177,32388,31661,3043,427,413,0,338,0,427,413,0,89,0,278934,317068,133402,290906,6,5862
1,1,25258.8,37404.9,10237.3,7293.53,2480.48,6445,1800,11,83743,81424,21776,21267,2168,978,949,11,838,0,978,949,11,240,0,278934,317068,133402,290906,6,5862
1,1,11824.8,4283.51,3284.78,830.396,330.767,734,236,5,12652,12220,8383,8175,550,124,121,0,94,0,124,121,0,29,0,278934,317068,133402,290906,6,5862
1,1,3542.21,9840.06,150.238,256.732,131.282,229,106,7,28113,27208,450,434,2,44,41,0,30,0,44,41,0,14,0,278934,317068,133402,290906,6,5862
1,1,16346,9530.59,7068.02,5745.4,1722.13,5081,1204,17,25597,24772,16801,16332,1269,757,731,8,631,0,757,731,8,148,0,278934,317068,133402,290906,6,5862
1,1,4456.04,12204.9,270.786,313.563,116.457,275,85,4,27968,27116,787,759,18,54,51,0,36,0,54,51,0,11,0,278934,317068,133402,290906,6,5862
1,1,19452.4,3857.92,12011.5,2020.7,627.097,1779,442,14,11996,11598,26239,25592,2187,308,300,1,240,0,308,300,1,61,0,278934,317068,133402,290906,6,5862
1,1,48026.1,55894.4,47140.7,44557.8,13663.5,39013,9580,33,110529,107495,83670,82129,8428,5603,5416,170,4750,0,5603,5416,170,1210,0,278934,317068,133402,290906,6,5862
1,1,25826.9,10842.5,15944.3,428.128,203.825,353,131,4,26548,25718,31453,30754,2936,110,109,0,63,0,110,109,0,21,0,278934,317068,133402,290906,6,5862
1,1,9440.66,5441.12,2085.91,2629.11,1073.35,2346,810,11,15360,14860,4919,4777,253,340,330,1,279,0,340,330,1,95,0,278934,317068,133402,290906,6,5862
1,1,2051.44,12948.9,41.899,136.534,82.754,124,68,3,33523,32456,133,124,0,23,22,0,15,0,23,22,0,9,0,278934,317068,133402,290906,6,5862
1,1,38605.3,28552.7,57102.9,28334.3,7070.11,24988,4975,18,65350,63530,83304,81641,8641,3598,3490,65,3049,0,3047,2952,45,606,0,278934,317068,133402,290906,6,5862
1,1,42493.6,50615.2,37123.8,47750,14199,41717,9820,52,114114,110898,66918,65619,6893,6173,5960,199,5255,0,6173,5960,199,1254,0,278934,317068,133402,290906,6,5862
1,1,28329.9,25914.2,30742.7,14264.7,4541.55,12480,3272,19,62039,60211,57916,56683,5703,1925,1850,47,1591,0,1925,1850,47,424,0,278934,317068,133402,290906,6,5862
1,1,26887.6,31939.9,23980,3469.22,1278.12,3059,952,7,72334,70320,38279,37485,3697,485,466,0,390,0,485,466,0,125,0,278934,317068,133402,290906,6,5862
1,1,51126.7,25064.7,83312.3,70999.5,21869.3,61840,15137,42,60480,58702,128566,126179,13324,8831,8589,238,7602,0,8831,8589,238,1843,0,278934,317068,133402,290906,6,5862
1,1,10964.2,5256.25,3010.47,1947.53,567.12,1736,394,10,15316,14817,6912,6702,400,273,264,1,223,0,273,264,1,53,0,278934,317068,133402,290906,6,5862
1,1,20643.2,31874.9,10686.5,4386.58,1207.67,3935,845,16,70203,68282,22996,22491,1924,577,557,1,479,0,577,557,1,113,0,278934,317068,133402,290906,6,5862
1,1,57117.2,79109.6,51422,78494,22687.2,68162,15123,52,161068,156768,89419,87828,9139,9585,9292,364,8265,0,9585,9292,364,1919,0,278934,317068,133402,290906,6,5862
1,1,21398.5,13667,12077.9,11201.5,3759.41,9851,2752,25,34032,33071,26112,25501,2441,1442,1403,32,1229,0,1442,1403,32,337,0,278934,317068,133402,290906,6,5862
1,1,17002.1,26382,4593.44,4459.91,1342.23,3934,908,18,59984,58282,9752,9493,773,633,606,5,511,0,633,606,5,121,0,278934,317068,133402,290906,6,5862
1,1,27494,19028.9,19963.5,39779.9,12046,35057,8495,33,44751,43429,39921,39027,3882,4569,4419,96,3906,0,4564,4416,96,1092,0,278934,317068,133402,290906,6,5862
1,1,7142.52,11024.7,783.525,1117.73,307.178,990,215,10,28484,27613,2505,2428,98,165,158,0,131,0,165,158,0,32,0,278934,317068,133402,290906,6,5862
1,1,31181,21225.6,39153.9,3798.94,918.434,3283,580,7,48939,47427,67040,65647,6484,541,521,0,426,0,541,521,0,80,0,278934,317068,133402,290906,6,5862
1,1,13005.8,14617.8,4328.62,3967.29,1864.58,3512,1443,19,35137,34013,10240,9924,781,524,504,7,432,0,524,504,7,134,0,278934,317068,133402,290906,6,5862
