K,order,dist,cost_polyanya,cost_ki,cost_hi,h_cost,vnum,gen_poly,push_poly,pop_poly,gen_ki,push_ki,pop_ki,prune_ki,suc_call_ki,gen_hi,push_hi,pop_hi,prune_hi,suc_call_hi,heuristic_call,reevaluate,pts,polys
9,9,96874.3,131105,713631,814725,670349,76,202342,196844,168765,504661,497650,482569,46898,3430684,79901,101145,90377,3525,332027,93269,23360,10,8100
9,9,89030.6,134080,619527,806365,658840,123,197892,192519,164390,471889,464994,450545,45275,3122050,85784,101219,89053,3152,341915,92461,17802,10,8100
9,9,82401.4,106988,600060,690820,560114,40,169924,165227,140761,462413,455443,441711,44609,3025755,80575,94661,83037,2832,316823,86361,16342,10,8100
9,9,102733,204800,698881,1.26511e+06,1.00632e+06,105,277630,270793,235173,524199,516973,504709,49593,3624728,133141,152219,136064,4683,595931,139065,22289,10,8100
9,9,92714.7,155414,665523,1.10943e+06,885681,109,228533,222739,192062,499542,492335,479993,47958,3347620,116968,131925,117117,4100,504324,120229,17849,10,8100
9,9,76621.2,68035.1,563332,432312,358426,68,114165,110884,93109,439916,433061,418844,42262,2786959,47709,60069,52566,1737,177046,55232,13768,10,8100
9,9,90736.5,131376,654762,807849,653891,47,196235,190969,163779,485581,478497,464668,46250,3247097,91776,109207,96522,3409,369845,99747,19912,10,8100
9,9,75268.7,57219,583079,489199,400873,75,109776,106696,89386,458368,451264,437942,44283,2925803,55797,67540,59220,2170,203527,61894,13269,10,8100
9,9,97008.1,173761,663357,962538,780317,36,234701,228572,197068,497036,490046,475444,46933,3365759,101562,122452,108759,3910,419464,112043,23604,10,8100
9,9,69224.6,69928.9,426123,383254,309068,71,115991,112758,95204,343349,337831,323642,34104,2122253,49580,58407,50660,1865,182536,53316,10230,10,8100
9,9,74095.4,73128.6,633182,626739,505360,105,121459,118022,99387,467479,460175,448663,45069,3025694,76122,88922,77487,2585,285441,80922,14933,10,8100
9,9,78592.5,94916.8,615318,669852,542866,110,152654,148365,125992,456809,449826,436732,44616,2966465,76626,88670,77558,2608,296905,80743,14212,10,8100
9,9,74874.9,52525.9,608144,417423,310759,96,88300,85804,72079,458397,451263,438615,43608,2939460,62871,69385,59888,2361,225722,62984,8269,10,8100
9,9,60356,62339.8,551005,612367,508474,78,115749,112618,94227,417838,410971,395307,42166,2443582,64050,73651,63744,2204,227736,66837,11361,10,8100
9,9,68795.3,76732.2,377105,418576,340130,35,125072,121602,102760,322177,317003,301890,32187,1939058,49315,59552,51650,1672,181780,54466,11644,10,8100
9,9,93922.1,179135,667313,1.04305e+06,844341,107,244759,238754,206788,502962,495795,482736,47211,3329825,106299,126657,113630,3567,461324,116049,22883,10,8100
9,9,92141.3,156140,685742,934670,743120,117,218916,213388,183493,498844,491651,480899,47699,3407184,105544,123000,109178,3583,444442,112462,20071,10,8100
9,9,97282.6,137917,693608,671951,543337,90,199532,194356,167192,511976,504886,490068,47834,3485011,74278,92723,83076,2897,315308,85590,20342,10,8100
9,9,86257.9,149011,666765,929231,756064,105,217358,211858,182356,486153,478990,467182,46042,3162755,95767,114976,102603,3495,404098,105376,21589,10,8100
9,9,112453,269041,764614,1.3345e+06,1.07267e+06,152,346862,338148,294092,541086,533922,521749,49128,3832337,138866,167013,149996,5144,610227,153709,31566,10,8100
9,9,95853.3,149000,680424,983310,786573,105,223393,217853,189138,517428,510052,498700,49134,3511618,109333,128104,114314,3861,469024,117198,21465,10,8100
9,9,90033.6,120892,639865,731586,594399,128,187643,182454,155451,486639,479552,467536,46433,3274534,81375,98428,86793,2992,324848,90096,19297,10,8100
9,9,79451.4,91945,597050,652333,528291,44,154192,149945,127236,457980,451032,437580,44451,2979485,76977,89690,78543,2653,299934,81783,14861,10,8100
9,9,81822.3,66305.7,548487,293037,222714,92,98801,96076,81229,420561,414280,399715,40121,2730277,45571,51483,44548,1849,174322,46790,7155,10,8100
9,9,97828.3,172474,671667,979032,787449,119,246577,240179,206594,507656,500497,489543,47716,3502882,109036,129167,114661,3756,455711,118420,22908,10,8100
9,9,107880,194112,709823,1.04248e+06,853572,136,265808,258895,221868,535791,528687,516438,47770,3715199,102558,129419,115454,3862,434998,119167,29528,10,8100
