         k,      dist,      rank,  max_rank,      vnum, cost_edbt,  gen_edbt,  cost_ki0,   gen_ki0,   cost_ki,    gen_ki, cost_poly,  gen_poly,  cost_ffp,   gen_ffp,   cost_hi,    gen_hi,     hcost,     hcall,    hreuse,reevaluate,  cost_hi2,   gen_hi2,    hcost2,    hcall2,   hreuse2,   cost_fi,    gen_fi,  cost_pre,   gen_pre,   edgecnt,  fencecnt,    keycnt,      miss,false_retrieval,       pts,     polys
         1,   11086.2,         1,         1,        12,         0,         0,   42176.5,     91460,   4708.38,     10236,    60.843,       204,    36.504,       204,   2715.74,       207,      2529,       163,        28,         0,    2759.9,       207,      2592,       163,        28,    74.324,        88,    423286,    415609,    188905,    376486,    134320,         0,         0,        13,      8385
         1,   23799.3,         1,         1,        37,         0,         0,    204316,    350556,   30066.6,     51377,   886.581,      2544,   696.657,      2544,   36521.3,      2548,     33971,      2172,       295,         0,   36630.9,      2548,     34228,      2172,       295,   154.454,       175,    423286,    415609,    188905,    376486,    134320,         0,         0,        13,      8385
         1,   16091.4,         1,         1,        20,         0,         0,   80954.7,    182814,   10743.5,     24116,   256.693,       977,   231.914,       977,   13758.5,       980,     12950,       828,       116,         0,   13673.3,       980,     12868,       828,       116,    96.389,       126,    423286,    415609,    188905,    376486,    134320,         0,         0,        13,      8385
         1,   3009.54,         1,         1,         5,         0,         0,   3026.21,      8723,   165.084,       669,    10.024,        42,     6.425,        42,   492.648,        45,       464,        30,         9,         0,    484.04,        45,       459,        30,         9,     23.87,        41,    423286,    415609,    188905,    376486,    134320,         0,         0,        13,      8385
         1,   30211.6,         1,         1,        19,         0,         0,    335674,    567150,   70538.2,    103201,   451.645,      1703,   410.066,      1703,   23905.3,      1706,     22436,      1405,       229,         0,   23905.5,      1706,     22537,      1405,       229,   148.287,       173,    423286,    415609,    188905,    376486,    134320,         0,         0,        13,      8385
         1,     13664,         1,         1,        16,         0,         0,     55426,    135202,   7820.66,     17078,   168.003,       640,   173.162,       640,   8554.29,       640,      8036,       521,       102,         0,   8603.76,       640,      8094,       521,       102,    68.257,        93,    423286,    415609,    188905,    376486,    134320,         0,         0,        13,      8385
         1,   22686.7,         1,         1,        32,         0,         0,    155329,    307611,   25865.2,     47590,   822.338,      2186,   715.949,      2186,   32414.5,      2189,     30241,      1893,       226,         0,   35612.5,      2189,     33517,      1893,       226,   151.663,       169,    423286,    415609,    188905,    376486,    134320,         0,         0,        13,      8385
         1,   8259.21,         1,         1,         8,         0,         0,   16826.5,     50319,   1697.93,      5001,    29.253,       135,    20.473,       135,   1663.81,       137,      1565,       107,        19,         0,   1657.43,       137,      1558,       107,        19,    34.823,        55,    423286,    415609,    188905,    376486,    134320,         0,         0,        13,      8385
         1,   9084.81,         1,         1,        10,         0,         0,   19975.1,     63024,   2428.01,      6836,    62.152,       257,    51.497,       257,    3435.8,       259,      3237,       209,        35,         0,   3424.86,       259,      3233,       209,        35,    50.714,        63,    423286,    415609,    188905,    376486,    134320,         0,         0,        13,      8385
         1,   2731.54,         1,         1,         5,         0,         0,   2443.76,      6455,   130.816,       529,     8.226,        34,       4.7,        34,   398.444,        37,       377,        23,         8,         0,    392.09,        37,       375,        23,         8,    18.887,        33,    423286,    415609,    188905,    376486,    134320,         0,         0,        13,      8385
         1,   21903.8,         1,         1,        23,         0,         0,    138449,    290403,   22034.9,     41577,   519.632,      1878,    499.23,      1878,   26646.4,      1880,     24937,      1598,       213,         0,   26530.5,      1880,     24909,      1598,       213,   150.105,       144,    423286,    415609,    188905,    376486,    134320,         0,         0,        13,      8385
         1,   25103.1,         1,         1,        31,         0,         0,    130662,    280248,   16805.8,     32936,   625.397,      2283,   589.321,      2283,   32588.6,      2285,     30490,      1950,       239,         0,   32031.5,      2285,     29960,      1950,       239,   121.528,       163,    423286,    415609,    188905,    376486,    134320,         0,         0,        13,      8385
         1,   4421.55,         1,         1,         9,         0,         0,   5389.56,     14980,   351.627,      1338,    15.705,        69,    10.128,        69,   865.886,        74,       814,        55,        11,         0,   913.635,        74,       867,        55,        11,    21.969,        37,    423286,    415609,    188905,    376486,    134320,         0,         0,        13,      8385
         1,   33593.7,         1,         1,        34,         0,         0,    351989,    611959,   68818.9,    109678,   1725.75,      4984,   1572.67,      4984,   72555.2,      4986,     67779,      4244,       573,         0,   73380.2,      4986,     68919,      4244,       573,   184.844,       217,    423286,    415609,    188905,    376486,    134320,         0,         0,        13,      8385
         1,     24097,         1,         1,        39,         0,         0,    130566,    296344,   18020.8,     34582,   613.169,      2195,   561.608,      2195,   30508.4,      2197,     28638,      1833,       286,         0,   30433.3,      2197,     28635,      1833,       286,   133.031,       185,    423286,    415609,    188905,    376486,    134320,         0,         0,        13,      8385
         1,   34468.2,         1,         1,         8,         0,         0,    183049,    403522,   22048.1,     43509,   178.813,       764,   153.437,       764,   9782.07,       765,      9160,       612,       119,         0,    9940.7,       765,      9351,       612,       119,   145.501,       179,    423286,    415609,    188905,    376486,    134320,         0,         0,        13,      8385
         1,   22002.3,         1,         1,        28,         0,         0,    114010,    255169,   16907.4,     32163,   457.333,      1739,   427.477,      1739,   24460.8,      1741,     22944,      1446,       225,         0,   24372.3,      1741,     22911,      1446,       225,   109.934,       149,    423286,    415609,    188905,    376486,    134320,         0,         0,        13,      8385
         1,   8444.58,         1,         1,        10,         0,         0,   16905.2,     52619,   1745.19,      5102,     45.13,       204,    33.779,       204,   2841.51,       207,      2695,       168,        26,         0,   2712.31,       207,      2562,       168,        26,    39.387,        61,    423286,    415609,    188905,    376486,    134320,         0,         0,        13,      8385
         1,   17905.8,         1,         1,        29,         0,         0,    109407,    233644,   15239.7,     30663,   502.351,      1574,    467.96,      1574,   22681.7,      1577,     21238,      1328,       188,         0,   24396.6,      1577,     22996,      1328,       188,   132.136,       153,    423286,    415609,    188905,    376486,    134320,         0,         0,        13,      8385
         1,   9354.48,         1,         1,        11,         0,         0,   17033.7,     53791,   1659.74,      4417,    30.107,       120,    21.357,       120,   1666.87,       122,      1569,        97,        16,         0,    1700.1,       122,      1611,        97,        16,    38.897,        52,    423286,    415609,    188905,    376486,    134320,         0,         0,        13,      8385
         1,   6332.88,         1,         1,         7,         0,         0,   10187.4,     31598,   1045.83,      3333,     25.59,       107,    18.797,       107,   1298.46,       107,      1213,        79,        21,         0,   1306.35,       107,      1226,        79,        21,    27.688,        38,    423286,    415609,    188905,    376486,    134320,         0,         0,        13,      8385
         1,   1762.18,         1,         1,         4,         0,         0,    715.95,      1649,    27.823,       117,     6.012,        23,     2.564,        23,    289.39,        26,       272,        19,         2,         0,   284.668,        26,       267,        19,         2,     9.951,        17,    423286,    415609,    188905,    376486,    134320,         0,         0,        13,      8385
         1,   15376.4,         1,         1,        14,         0,         0,   69424.4,    166509,   9346.49,     21476,   210.604,       793,   188.164,       793,   11205.3,       796,     10518,       679,        91,         0,   11267.8,       796,     10588,       679,        91,    67.344,        87,    423286,    415609,    188905,    376486,    134320,         0,         0,        13,      8385
         1,   10073.4,         1,         1,        10,         0,         0,   25718.9,     72149,   3135.68,      8037,   103.976,       416,    89.202,       416,   5700.57,       429,      5362,       356,        48,         0,   5706.54,       429,      5377,       356,        48,    57.751,        58,    423286,    415609,    188905,    376486,    134320,         0,         0,        13,      8385
         1,   35581.9,         1,         1,        15,         0,         0,    334648,    622112,   56124.5,     92721,   506.209,      1905,   473.514,      1905,   26586.9,      1907,     24852,      1590,       248,         0,   26339.3,      1907,     24738,      1590,       248,   167.504,       205,    423286,    415609,    188905,    376486,    134320,         0,         0,        13,      8385
         1,   32452.8,         1,         1,        45,         0,         0,    305556,    548685,   54022.8,     84789,   2186.15,      6213,    2234.8,      6213,   90174.8,      6218,     84155,      5374,       647,         0,   89713.7,      6218,     84079,      5374,       647,   170.969,       234,    423286,    415609,    188905,    376486,    134320,         0,         0,        13,      8385
         1,     20123,         1,         1,        13,         0,         0,    131573,    271474,   19328.6,     38545,   379.897,      1460,   352.217,      1460,   19953.7,      1462,     18778,      1199,       196,         0,   20014.3,      1462,     18901,      1199,       196,    94.247,       124,    423286,    415609,    188905,    376486,    134320,         0,         0,        13,      8385
         1,     18423,         1,         1,        26,         0,         0,    100910,    222302,   14676.8,     31935,   319.512,      1274,    294.42,      1274,   17674.6,      1278,     16573,      1072,       151,         0,   17801.5,      1278,     16724,      1072,       151,     87.59,       119,    423286,    415609,    188905,    376486,    134320,         0,         0,        13,      8385
         1,   18492.1,         1,         1,        25,         0,         0,    104650,    235626,   15033.6,     32059,    378.07,      1450,   351.535,      1450,   20727.6,      1452,     19448,      1239,       156,         0,   20280.4,      1452,     19044,      1239,       156,    97.241,       133,    423286,    415609,    188905,    376486,    134320,         0,         0,        13,      8385
         1,   10066.8,         1,         1,        10,         0,         0,   31883.4,     87335,   3309.08,      8464,    65.909,       288,    52.503,       288,   3767.62,       292,      3538,       230,        44,         0,   3771.23,       292,      3553,       230,        44,    46.859,        66,    423286,    415609,    188905,    376486,    134320,         0,         0,        13,      8385
         1,   4170.59,         1,         1,         5,         0,         0,   4823.59,     14156,   318.081,      1038,     12.01,        47,     7.369,        47,   558.305,        49,       526,        33,         9,         0,   572.377,        49,       538,        33,         9,    17.004,        28,    423286,    415609,    188905,    376486,    134320,         0,         0,        13,      8385
