         k,      dist, cost_poly,  gen_poly,   cost_hi,    gen_hi,     hcost,     hcall,reevaluate,   cost_ki,    gen_ki,  cost_ki0,   gen_ki0,  cost_pre,   gen_pre,   edgecnt,    damcnt,       pts,     polys
         1,   8098.94,   69949.4,    156976,   1752.54,       119,      1659,        88,         0,   1961.39,      4814,   19981.8,     48641,    446514,    413370,    188905,    374639,        15,      8385
         1,    3055.7,     91608,    195629,   372.887,        27,       357,        17,         0,   138.076,       479,   3223.25,      8439,    446514,    413370,    188905,    374639,        15,      8385
         1,   10370.6,    121822,    231166,   3299.79,       218,      3130,       172,         0,   1683.05,      4601,   20861.6,     58474,    446514,    413370,    188905,    374639,        15,      8385
         1,   9162.59,   77626.5,    169407,   3631.98,       211,      3478,       174,         0,   2663.47,      6796,   24720.2,     63919,    446514,    413370,    188905,    374639,        15,      8385
         1,   10683.5,   48431.6,    107536,   6453.08,       402,      6156,       333,         0,    4183.2,      9949,     37236,     89261,    446514,    413370,    188905,    374639,        15,      8385
         1,   4992.08,    106958,    219646,   295.771,        30,       278,        16,         0,   605.847,      1816,   7585.58,     20920,    446514,    413370,    188905,    374639,        15,      8385
         1,   17059.1,   36213.8,     94293,     35172,      2031,     33251,      1717,         0,   14414.4,     28348,    106280,    212055,    446514,    413370,    188905,    374639,        15,      8385
         1,   6134.72,    135939,    261824,   3848.53,       242,      3679,       199,         0,   714.964,      2069,   9645.29,     27765,    446514,    413370,    188905,    374639,        15,      8385
         1,   8064.63,   52575.6,    125062,   5183.06,       321,      4934,       265,         0,   2019.26,      4989,   17666.1,     49024,    446514,    413370,    188905,    374639,        15,      8385
         1,   15303.6,   38372.4,     98260,   19593.4,      1185,     18584,       991,         0,   10258.4,     22640,   75950.4,    176222,    446514,    413370,    188905,    374639,        15,      8385
         1,   11123.9,     63033,    143449,   7774.02,       470,      7424,       396,         0,   4233.66,      9958,   36464.5,     89731,    446514,    413370,    188905,    374639,        15,      8385
         1,     18561,   83025.9,    190269,   16654.1,      1012,     15728,       848,         0,     17680,     34184,    114562,    238229,    446514,    413370,    188905,    374639,        15,      8385
         1,   19765.2,   88235.6,    188302,   14715.3,       918,     14003,       753,         0,   20106.7,     39084,    133176,    263181,    446514,    413370,    188905,    374639,        15,      8385
         1,   20113.4,    166041,    333278,   1015.19,       117,       946,        66,         0,   12218.2,     23786,   94737.4,    218761,    446514,    413370,    188905,    374639,        15,      8385
         1,   20155.6,    103029,    228790,   24030.4,      1455,     22754,      1220,         0,   17750.5,     36015,    123684,    256712,    446514,    413370,    188905,    374639,        15,      8385
         1,   11234.6,    106830,    228537,   14468.7,       886,     13719,       751,         0,   4579.58,     10949,   37525.2,     99876,    446514,    413370,    188905,    374639,        15,      8385
         1,   15371.6,    194001,    361439,    4328.1,       294,      4127,       220,         0,   6885.62,     15032,   52356.7,    123829,    446514,    413370,    188905,    374639,        15,      8385
         1,   21114.9,    197441,    376832,   21454.5,      1338,     20422,      1129,         0,   12436.4,     24851,    100127,    215782,    446514,    413370,    188905,    374639,        15,      8385
         1,   21941.3,    222872,    402084,   1025.81,       110,       961,        57,         0,   10132.5,     20484,   84423.7,    203196,    446514,    413370,    188905,    374639,        15,      8385
         1,   7628.81,   40051.9,    102441,    2058.5,       144,      1955,       105,         0,   1715.75,      4446,   15649.1,     44706,    446514,    413370,    188905,    374639,        15,      8385
         1,   9348.86,   87708.1,    195972,   2603.03,       142,      2492,       116,         0,   2746.77,      7229,   25257.4,     70314,    446514,    413370,    188905,    374639,        15,      8385
         1,     15513,   38950.5,     98250,   3165.85,       209,      3009,       167,         0,   9876.18,     22475,   78322.5,    175907,    446514,    413370,    188905,    374639,        15,      8385
