K,order,dist,cost_ki,cost_edbt,vnum,density
1,1,9968.35,53.814,409074,5,0.355872
1,1,6203.66,33.524,69406.2,3,0.355872
1,1,1075.89,2.276,2299.77,2,0.355872
1,1,2576.24,8.014,128409,2,0.355872
1,1,9832.03,40.372,36570.3,7,0.355872
1,1,8316.87,68.809,119996,4,0.355872
1,1,6564.32,18.108,91877,2,0.355872
1,1,5424.04,27.919,28839.6,3,0.355872
1,1,4569.78,18.071,24091,3,0.355872
1,1,1774.72,2.954,10593.3,2,0.355872
1,1,6960.6,21.324,50641,2,0.355872
1,1,4856.21,20.688,92952.5,3,0.355872
1,1,4633.87,16.186,63756.7,3,0.355872
1,1,1831.62,2.559,663.515,2,0.355872
1,1,5805.33,34.504,61222.7,3,0.355872
1,1,6043.53,21.938,102015,3,0.355872
1,1,3850.47,14.238,383326,2,0.355872
1,1,4287.47,13.5,26833.5,3,0.355872
1,1,3401.5,14.105,40269,3,0.355872
1,1,6440.16,41.261,137612,5,0.355872
1,1,6252.57,25.905,258335,4,0.355872
1,1,5526.41,29.728,171516,2,0.355872
1,1,401.434,1.461,154.075,2,0.355872
1,1,693.878,3.164,17255.1,2,0.355872
1,1,5402.58,17.731,43754.3,3,0.355872
1,1,4412.5,15.441,39383.3,4,0.355872
1,1,4877.51,15.592,186619,3,0.355872
1,1,2148.99,4.165,7577.77,2,0.355872
1,1,194.487,3.566,9339.52,2,0.355872
1,1,6495.27,21.992,74208.5,4,0.355872
1,1,2135.75,10.301,16411.1,3,0.355872
1,1,1802.78,7.557,222084,2,0.355872
1,1,5671.34,24.7,100278,2,0.355872
1,1,2871.67,6.795,45660.3,2,0.355872
1,1,3538.48,10.923,12841.3,3,0.355872
1,1,12019.5,145.893,182388,3,0.355872
1,1,3390.79,6.424,57612.3,2,0.355872
1,1,5806.15,30.984,34339.8,3,0.355872
1,1,7371.68,38.354,322453,3,0.355872
1,1,7294.7,27.892,71655.2,4,0.355872
1,1,5737.27,24.295,67152.4,3,0.355872
1,1,1391.23,12.02,85938.1,2,0.355872
1,1,2248.08,4.425,65330.7,2,0.355872
1,1,1232.37,4.974,288794,2,0.355872
1,1,7184.29,34.622,154165,5,0.355872
1,1,2937.82,8.944,737605,2,0.355872
1,1,2710.32,15.202,17798.8,3,0.355872
1,1,3750.03,9.123,21856.3,3,0.355872
1,1,5175.07,15.43,29834.9,4,0.355872
1,1,5580.91,18.82,237213,4,0.355872
1,1,6880.98,30.407,65594.9,3,0.355872
1,1,10394.2,49.603,114464,3,0.355872
1,1,2578.97,9.251,29186.1,2,0.355872
1,1,317.151,1.094,69283,2,0.355872
1,1,4355.7,7.793,7099.74,2,0.355872
1,1,6404.52,44.086,76867.6,5,0.355872
1,1,6016.92,22.065,51630.8,4,0.355872
1,1,6184.19,22.687,27781.2,3,0.355872
1,1,3294.09,10.209,102109,2,0.355872
1,1,10418.3,108.984,139976,4,0.355872
1,1,3428.96,8.351,11019.7,3,0.355872
1,1,993.026,4.215,16229.4,2,0.355872
1,1,3872.67,12.233,17516.6,2,0.355872
1,1,1232.56,1.57,349.843,2,0.355872
1,1,1104.17,2.624,13059.4,2,0.355872
1,1,4915.83,15.228,25612,3,0.355872
1,1,8381.79,37.731,39079.5,3,0.355872
1,1,2721.85,5.787,27370.1,2,0.355872
1,1,2170.23,1.611,4211.66,2,0.355872
1,1,3084.26,16.956,108478,2,0.355872
1,1,2623.35,7.359,41067.1,2,0.355872
1,1,1314.14,1.218,3901.46,2,0.355872
1,1,4976.78,14.053,27441.9,3,0.355872
1,1,6729.25,39.401,157427,6,0.355872
1,1,2883.65,18.493,78309.8,2,0.355872
1,1,1636.3,3.384,114029,3,0.355872
1,1,774.334,2.599,5717.37,2,0.355872
1,1,7322.74,21.062,50186.1,6,0.355872
1,1,5984.3,19.88,49013,3,0.355872
1,1,9942.26,78.757,241470,4,0.355872
1,1,5426.82,18.057,43475,2,0.355872
1,1,7183.93,35.172,162295,3,0.355872
1,1,1116.63,1.584,4459.98,2,0.355872
1,1,2200.03,4.915,4968.21,2,0.355872
1,1,2232.62,5.025,54399.7,2,0.355872
1,1,2224.79,4.808,8850.36,2,0.355872
1,1,1440.31,1.567,370.567,2,0.355872
1,1,8926.92,58.977,322546,4,0.355872
1,1,6365.34,27.434,40411.5,2,0.355872
1,1,9511.78,75.271,305566,8,0.355872
1,1,3296.12,5.027,7412.84,2,0.355872
1,1,4234.23,14.122,16574.5,3,0.355872
1,1,2093.77,2.889,36134.1,2,0.355872
1,1,6157.66,36.695,140135,6,0.355872
1,1,782.814,0.455,5866.69,2,0.355872
1,1,5473.97,17.528,14859.2,3,0.355872
1,1,1422.99,5.905,7628.32,2,0.355872
1,1,8310.18,46.184,187332,5,0.355872
1,1,7242.18,49,255730,2,0.355872
1,1,2864.41,16.275,61992,2,0.355872
1,1,6564.44,27.658,1.20543e+06,3,0.355872
1,1,2470.33,3.098,393.62,2,0.355872
1,1,5360.56,16.665,32681.2,4,0.355872
1,1,3028.86,8.721,10214.2,2,0.355872
1,1,4101.77,8.238,18910.3,2,0.355872
1,1,5736.94,10.396,110621,5,0.355872
1,1,4046.61,10.481,31721.7,4,0.355872
1,1,8232.72,48.715,196106,3,0.355872
1,1,1316.52,3.48,103490,2,0.355872
1,1,1405.78,1.932,51213.9,2,0.355872
1,1,10384.8,91.924,382293,5,0.355872
1,1,13650.7,68.193,301189,3,0.355872
