K,dist,cost_ki,cost_hi,h_cost,vnum,gen_ki,push_ki,pop_ki,gen_hi,push_hi,pop_hi,density
1,17623.5,249.483,632.294,555,8,34,15,538,8,4,55,0.0177936
1,13609.6,120.269,250.358,223,6,21,3,316,6,3,23,0.0177936
1,30960.5,1114.61,1087.89,949,8,115,18,2542,10,2,106,0.0177936
1,22853.4,239.473,841.551,740,9,38,10,645,11,5,95,0.0177936
1,26740.8,707.794,623.6,550,8,86,12,1801,10,3,60,0.0177936
1,9373.1,27.256,75.334,66,3,18,7,75,7,4,7,0.0177936
1,28749.6,341.191,662.69,585,11,52,5,879,13,3,66,0.0177936
1,45795.7,984.539,1644.39,1448,12,93,9,2689,14,3,182,0.0177936
1,6632.78,22.52,102.255,91,3,10,4,60,7,4,8,0.0177936
1,20497.2,282.525,574.234,510,8,44,6,856,6,3,65,0.0177936
1,6057.1,16.416,82.915,73,3,8,3,50,5,3,7,0.0177936
1,6467.06,21.555,134.629,121,3,7,2,59,5,2,10,0.0177936
1,30117.8,326.907,288.302,259,7,48,8,961,7,3,27,0.0177936
1,16139.4,142.363,282.707,252,4,26,6,407,7,3,25,0.0177936
1,29267.9,384.271,935.268,847,11,53,8,1159,11,3,78,0.0177936
1,21797.5,218.673,364.407,324,4,41,5,628,10,3,29,0.0177936
1,11028.8,61.133,107.373,94,3,17,8,156,7,4,9,0.0177936
1,11830.3,88.277,99.698,91,4,17,5,277,6,3,10,0.0177936
1,29713.4,391.874,143.166,126,4,42,5,1140,5,3,16,0.0177936
1,4259.88,14.538,121.199,108,4,6,4,43,5,3,10,0.0177936
1,22879.2,255.002,1063.11,947,14,42,8,784,12,5,98,0.0177936
1,32862.9,903.508,1052.11,930,11,79,8,2526,9,3,106,0.0177936
1,6946.04,28.105,85.997,78,4,9,3,78,7,3,7,0.0177936
1,5840.67,13.829,67.86,62,3,8,3,34,5,3,6,0.0177936
1,16808,157.309,352.734,312,8,37,6,467,10,4,34,0.0177936
1,24201,243.917,546.902,482,8,51,9,707,16,4,48,0.0177936
1,26517.6,630.561,401.802,352,6,83,11,1706,8,3,40,0.0177936
1,45407.4,1057.82,2667.81,2327,12,98,12,2951,17,4,276,0.0177936
1,11749.6,67.324,274.027,232,5,21,4,178,5,3,21,0.0177936
1,16615.6,201.193,388.692,348,6,34,8,498,9,4,29,0.0177936
1,24704.9,338.99,361.911,326,7,51,8,964,8,4,39,0.0177936
1,41625.3,703.231,607.549,542,4,56,4,1762,6,3,60,0.0177936
1,16026.7,156.251,182.68,163,6,28,5,417,7,3,18,0.0177936
1,20343.3,210.807,117.045,105,2,31,8,393,6,4,10,0.0177936
1,1749.4,4.272,39.272,36,2,6,3,6,5,3,3,0.0177936
